Pos.,Name,Nation,League,League,FA Cup,FA Cup,Total,Total
,,,Apps,Goals,Apps,Goals,Apps,Goals
FW, Fred Dewhurst,ENG,16,12,5,1,21,13
FB, George Drummond,SCO,12,1,4,0,16,1
FW, Jack Edwards,ENG,4,3,0,0,4,3
FW, Archie Goodall,IRL,2,1,0,0,2,1
FW, John Goodall,ENG,21,21,5,2,26,23
FW, Jack Gordon,SCO,20,10,5,1,25,11
HB, Johnny Graham,SCO,22,0,4,0,26,0
HB, Willie Graham,SCO,5,0,0,0,5,0
FB, Robert Holmes,ENG,22,0,5,1,26,1
FB, Bob Howarth,ENG,18,0,5,0,23,0
FW, Jock Inglis,SCO,1,1,0,0,1,1
GK, Robert Mills-Roberts,WAL,2,0,5,0,7,0
HB, Sandy Robertson,SCO,21,3,1,0,22,3
FW, Jimmy Ross,SCO,21,19,5,2,26,21
HB, David Russell,SCO,18,0,5,1,26,19
FW, Sam Thomson,SCO,16,3,5,3,21,6
GK, James Trainer,WAL,20,0,0,0,20,0
FB, Richard Whittle,ENG,1,1,0,0,1,1
