Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BASSETT, Billy ",Winger,21,11,0,4,2,0,0,0,0
,"BAYLISS, Jem ",Wing Half,22,2,0,4,3,0,0,0,0
,"CRABTREE, Frederick ",Winger,1,0,0,0,0,0,0,0,0
,"GREEN, Harry ",Full Back,9,0,0,4,0,0,0,0,0
,"HANNAH, Andrew ",Full Back,0,0,0,0,0,0,0,0,0
,"HAYNES, George ",Winger,5,0,0,0,0,0,0,0,0
,"HENDRY, Billy ",Centre Half,16,3,0,0,0,0,0,0,0
,"HORTON, Ezra ",Wing Half,8,0,0,4,0,0,0,0,0
,"HORTON, Jack ",Full Back,19,0,0,1,0,0,0,0,0
,"MILLARD, Albert ",Wing Half,1,0,0,0,0,0,0,0,0
,"OLIVER, Harold ",Full Back,1,0,0,0,0,0,0,0,0
,"PEARSON, Tom ",Inside Forward,22,12,0,4,1,0,0,0,0
,"PERRY, Charlie ",Centre Half,20,0,0,4,0,0,0,0,0
,"PERRY, Walter ",Winger,9,4,0,4,5,0,0,0,0
,"RAMSAY, George ",Full Back,1,0,0,0,0,0,0,0,0
,"ROBERTS, Bob ",Goalkeeper,22,0,0,4,0,0,0,0,0
,"ROBINSON, Bethel ",Full Back,0,0,0,3,0,0,0,0,0
,"SHAW, B ",Winger,1,1,0,0,0,0,0,0,0
,"TIMMINS, George ",Wing Half,22,0,0,4,1,0,0,0,0
,"WALKER, Luther ",Full Back,12,0,0,0,0,0,0,0,0
,"WILSON, Joe ",Winger,20,4,0,4,5,0,0,0,0
,"WOODHALL, George 'Spry' ",Winger,10,3,0,0,0,0,0,0,0
