Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BARBOUR, Billy ",Full Back,18,9,0,1,0,0,0,0,0
,"BARLOW, Joseph ",Centre Forward,3,0,0,0,0,0,0,0,0
,"GALLOCHER, Pat ",Inside Forward,21,2,0,3,1,0,0,0,0
,"HAWORTH, George ",Centre Half,15,0,0,3,0,0,0,0,0
,"HAY, Tom ",Goalkeeper,21,0,0,3,0,0,0,0,0
,"HOLDING, James ",Inside Forward,1,0,0,0,0,0,0,0,0
,"HORNE, Johnny ",Goalkeeper,1,0,0,0,0,0,0,0,0
,"HORNE, William ",Goalkeeper,1,0,0,0,0,0,0,0,0
,"KIRKHAM, Johnny ",Inside Forward,11,2,0,3,3,0,0,0,0
,"MACBETH, Robert ",Inside Forward,3,0,0,0,0,0,0,0,0
,"MCDERMID, Robert ",Full Back,22,0,0,3,0,0,0,0,0
,"MCLENNAN, Jack ",Full Back,14,0,0,3,0,0,0,0,0
,"MCPHERSON, Murdoch ",Winger,1,1,0,0,0,0,0,0,0
,"NISBET, James ",Full Back,5,0,0,0,0,0,0,0,0
,"ORR, John ",Winger,2,0,0,0,0,0,0,0,0
,"PEMBERTON, Luther ",Wing Half,9,0,0,0,0,0,0,0,0
,"PENDERGAST, Thomas ",Centre Forward,15,3,0,3,2,0,0,0,0
,"SANDERS, Moses ",Centre Half,17,0,0,0,0,0,0,0,0
,"SHUTTLEWORTH, William ",Wing Half,4,0,0,2,0,0,0,0,0
,"SMITH, Duncan ",Inside Forward,2,0,0,0,0,0,0,0,0
,"SNEDDON, John ",Centre Forward,1,0,0,0,0,0,0,0,0
,"STEVENSON, John ",Full Back,4,0,0,0,0,0,0,0,0
,"TATTERSALL, James ",Wing Half,19,0,0,3,0,0,0,0,0
,"THOMSON, Thomas ",Inside Forward,10,2,0,0,0,0,0,0,0
,"WHITEHEAD, Jimmy ",Inside Forward,19,7,0,3,2,0,0,0,0
,"WILKINSON, Arthur ",Winger,2,1,0,3,0,0,0,0,0
,"WILKINSON, Jonathan ",Centre Half,1,0,0,0,0,0,0,0,0
