Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ALLEN, Harry ",Centre Half,22,3,0,2,0,0,0,0,0
,"BAILEY, Herbert ",Centre Forward,1,0,0,0,0,0,0,0,0
,"BAKER, Charlie ",Inside Forward,24,5,0,4,4,0,0,0,0
,"BAUGH, Dick ",Full Back,24,0,0,4,0,0,0,0,0
,"BOOTH, Charlie ",Winger,19,5,0,4,0,0,0,0,0
,"BOWDLER, Jack ",Winger,8,1,0,0,0,0,0,0,0
,"BRADLEY, Claude ",Wing Half,6,0,0,0,0,0,0,0,0
,"BURLEIGH, James ",Centre Half,2,0,0,0,0,0,0,0,0
,"DAVIES, Joseph ",Wing Half,14,0,0,3,0,0,0,0,0
,"DEVEY, Will ",Centre Forward,25,12,0,1,1,0,0,0,0
,"DUNN, Tommy ",Full Back,6,0,0,2,0,0,0,0,0
,"HEATH, Billy ",Centre Forward,8,4,1,4,1,0,0,0,0
,"JOHNSTON, Jack ",Winger,4,3,0,0,0,0,0,0,0
,"KINSEY, George ",Wing Half,25,0,0,4,0,0,0,0,0
,"LOWDER, Arthur ",Wing Half,1,0,0,0,0,0,0,0,0
,"MALPASS, Billy ",Centre Half,10,0,0,3,0,0,0,0,0
,"MASON, Charlie ",Full Back,18,0,0,2,0,0,0,0,0
,"ROSE, Billy ",Goalkeeper,26,0,0,4,0,0,0,0,0
,"SWIFT, George ",Full Back,4,0,0,0,0,0,0,0,0
,"TOPHAM, Dick ",Winger,10,10,0,3,2,0,0,0,0
,"WOOD, Harry ",Inside Forward,8,8,0,0,0,0,0,0,0
,"WYKES, David ",Winger,21,8,0,4,2,0,0,0,0
