Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ALLAN, John ",Inside Forward,6,0,0,0,0,0,0,0,0
,"BLOOMER, Steve ",Inside Forward,29,10,0,1,0,0,1,1,0
,"BROOKES, Joseph ",Winger,3,0,0,0,0,0,0,0,0
,"BUNYAN, Charlie ",Goalkeeper,0,0,0,0,0,0,0,0,0
,"COX, Jack ",Wing Half,29,1,0,1,0,0,1,0,0
,"DOCHERTY, James ",Wing Half,17,0,0,1,0,0,0,0,0
,"EATON, Sam ",Inside Forward,0,0,0,0,0,0,0,0,0
,"EDWARDS, Harry ",Inside Forward,0,0,0,0,0,0,0,0,0
,"FLETCHER, Fred ",Winger,3,0,0,0,0,0,0,0,0
,"FORMAN, Frank ",Wing Half,8,0,0,0,0,0,0,0,0
,"FRANCIS, Percy ",Inside Forward,7,1,0,1,0,0,1,0,0
,"GOODALL, Archie ",Centre Half,30,6,0,1,0,0,1,0,0
,"GOODALL, John ",Centre Forward,19,4,0,1,1,0,1,0,0
,"GREEN, Joseph ",Goalkeeper,7,0,0,0,0,0,0,0,0
,"HAMILTON, John ",Centre Forward,12,2,0,0,0,0,0,0,0
,"HARVEY, John ",Centre Half,5,0,0,0,0,0,0,0,0
,"KEAY, Wattie ",Winger,12,5,0,1,0,0,0,0,0
,"LEIPER, Joe ",Full Back,28,0,0,1,0,0,1,0,0
,"MCLACHLAN, Jimmy ",Inside Forward,8,2,0,0,0,0,0,0,0
,"MCMILLAN, Johnny ",Inside Forward,19,5,0,1,0,0,1,1,0
,"METHVEN, Jimmy ",Full Back,30,0,0,1,0,0,1,0,0
,"PAUL, John ",Winger,13,4,0,0,0,0,1,0,0
,"RAYBOULD, Sam ",Centre Forward,5,2,0,0,0,0,0,0,0
,"ROBINSON, Jack ",Goalkeeper,23,0,0,1,0,0,1,0,0
,"ROULSTON, Walter ",Wing Half,1,0,0,0,0,0,0,0,0
,"SAWYER, Thomas ",Winger,2,0,0,0,0,0,0,0,0
,"SHREWSBURY, Tom ",Wing Half,0,0,0,0,0,0,0,0,0
,"STALEY, Jonathan ",Full Back,7,0,0,0,0,0,1,0,0
,"STEVENSON, Jimmy ",Inside Forward,1,0,0,0,0,0,0,0,0
,"WOOLLEY, Albert ",Winger,6,3,0,0,0,0,0,0,0
