Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ALLAN, Dick ",Winger,2,1,0,0,0,0,0,0,0
,"BARR, Bob ",Inside Forward,28,9,0,2,0,0,0,0,0
,"BECTON, Frank ",Inside Forward,22,11,0,2,0,0,0,0,0
,"BLYTH, Bob ",Wing Half,13,2,0,0,0,0,0,0,0
,"BURGOYNE, Emmanuel ",Inside Forward,0,0,0,0,0,0,0,0,0
,"CARTER, James ",Goalkeeper,0,0,0,0,0,0,0,0,0
,"CUNNINGHAM, John ",Inside Forward,12,5,0,0,0,0,0,0,0
,"DRUMMOND, Geordie ",Winger,13,0,0,2,0,0,0,0,0
,"DUNN, Hugh ",Full Back,27,0,0,2,0,0,0,0,0
,"GORDON, Jack ",Winger,6,0,0,0,0,0,0,0,0
,"GREER, Billy ",Centre Half,21,1,0,2,0,0,0,0,0
,"HENDERSON, Adam ",Winger,26,11,0,2,1,0,0,0,0
,"HOLMES, Bob ",Full Back,29,0,0,2,0,0,0,0,0
,"HOWARTH, Bob ",Full Back,2,0,0,0,0,0,0,0,0
,"MCMAIN, Joe ",Inside Forward,0,0,0,0,0,0,0,0,0
,"ORR, Willie ",Wing Half,10,2,0,1,0,0,0,0,0
,"PIERCE, Jackie ",Inside Forward,1,2,0,0,0,0,0,0,0
,"ROBINSON, Robert ",Inside Forward,0,0,0,0,0,0,0,0,0
,"SANDERS, Moses ",Centre Half,29,3,1,2,1,1,0,0,0
,"SHARP, James ",Wing Half,28,1,0,1,0,0,0,0,0
,"SMITH, David ",Centre Forward,28,12,0,2,0,0,0,0,0
,"TAIT, Sandy ",Full Back,3,0,0,0,0,0,0,0,0
,"TRAINER, Jimmy ",Goalkeeper,30,0,0,2,0,0,0,0,0
