Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BOARDMAN, Albert ",Goalkeeper,3,0,0,0,0,0,0,0,0
,"BRODIE, Davy ",Wing Half,29,0,0,2,0,0,0,0,0
,"BROOKFIELD, Arthur ",Winger,2,0,0,0,0,0,0,0,0
,"CAPEWELL, Billy ",Full Back,1,0,0,1,0,0,0,0,0
,"CLARE, Tommy ",Full Back,30,1,0,4,0,0,0,0,0
,"CLAWLEY, George ",Goalkeeper,26,0,0,4,0,0,0,0,0
,"DICKSON, Billy ",Inside Forward,30,8,0,4,2,0,0,0,0
,"ECCLES, Jack ",Full Back,28,0,0,4,0,0,0,0,0
,"GREWER, Jimmy ",Centre Half,29,1,0,4,0,0,0,0,0
,"HEAMES, Billy ",Winger,2,1,0,0,0,0,0,0,0
,"HYSLOP, Tommy ",Inside Forward,25,17,1,3,4,0,0,0,0
,"JOHNSON, Freddie ",Winger,8,1,0,1,1,0,0,0,0
,"LONIE, Tom ",Centre Forward,9,3,0,0,0,0,0,0,0
,"MAXWELL, Allan ",Inside Forward,8,1,0,4,2,0,0,0,0
,"MAXWELL, Willie ",Inside Forward,25,7,0,4,4,0,0,0,0
,"MCDONALD, Duncan ",Full Back,0,0,0,0,0,0,0,0,0
,"PROCTOR, Ted ",Centre Forward,3,2,0,0,0,0,0,0,0
,"ROBERTSON, Jack ",Full Back,11,0,0,2,0,0,0,0,0
,"ROWLEY, Billy ",Goalkeeper,1,0,0,0,0,0,0,0,0
,"SANDERSON, Edgar ",Wing Half,0,0,0,0,0,0,0,0,0
,"SANDLAND, Teddy ",Inside Forward,1,1,0,0,0,0,0,0,0
,"SAWERS, Bill ",Inside Forward,1,0,0,0,0,0,0,0,0
,"SCHOFIELD, Joe ",Winger,28,9,0,4,0,0,0,0,0
,"TURNER, Jimmy ",Wing Half,26,1,0,3,0,0,0,0,0
,"WOOD, Alf ",Centre Half,4,1,0,0,0,0,0,0,0
