Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ALMOND, Jim ",Wing Half,1,0,0,0,0,0,0,0,0
,"BEVERIDGE, David ",Wing Half,4,0,0,1,0,0,0,0,0
,"BLACK, David ",Winger,12,5,0,1,0,0,0,0,0
,"BOWES, Billy ",Inside Forward,28,11,0,1,0,0,4,1,0
,"BRAE, James ",Centre Half,6,0,0,0,0,0,0,0,0
,"BROWN, David ",Centre Forward,4,0,0,0,0,0,0,0,0
,"BROWN, Bob ",Centre Half,4,1,0,0,0,0,4,1,0
,"CHAMBERS, Thomas ",Inside Forward,10,5,0,0,0,0,0,0,0
,"DAVIDSON, Jimmy ",Inside Forward,2,0,0,0,0,0,0,0,0
,"DUNN, Tommy ",Full Back,6,0,0,0,0,0,0,0,0
,"FERGUSON, Willie ",Winger,4,1,0,0,0,0,2,1,0
,"HADDOW, Davie ",Goalkeeper,10,0,0,0,0,0,4,0,0
,"HARGREAVES, Ellis ",Inside Forward,1,0,0,0,0,0,0,0,0
,"HARTLEY, Jimmy ",Inside Forward,1,0,0,0,0,0,0,0,0
,"HILL, Jimmy ",Winger,14,1,0,0,0,0,0,0,0
,"LONGAIR, William 'Plum' ",Centre Half,12,1,0,1,0,0,0,0,0
,"MCLINTOCK, Tom ",Full Back,27,1,1,1,0,0,4,0,0
,"MCVEAN, Malcolm ",Winger,4,0,0,0,0,0,4,0,0
,"MORRISON, Tommy ",Winger,6,2,0,0,0,0,1,0,0
,"NICOL, Tom ",Winger,12,1,0,0,0,0,0,0,0
,"PLACE, Walter 'Junior' ",Winger,29,2,0,1,0,0,2,0,0
,"PLACE, Walter 'Senior' ",Wing Half,30,0,0,1,0,0,4,0,0
,"REYNOLDS, Jerry ",Full Back,22,0,0,1,0,0,4,0,0
,"ROBERTSON, Hugh ",Centre Forward,18,5,0,0,0,0,3,0,0
,"ROSS, Jimmy ",Inside Forward,4,1,0,0,0,0,3,0,0
,"TATHAM, Willie ",Goalkeeper,20,0,0,1,0,0,0,0,0
,"TAYLOR, Joe ",Centre Half,30,1,0,1,0,0,4,0,0
,"TOMAN, Wilf ",Centre Forward,8,4,0,1,0,0,1,0,0
,"WARBURTON, Thomas ",Winger,1,0,0,0,0,0,0,0,0
,"YARWOOD, John ",Centre Half,0,0,0,0,0,0,0,0,0
