Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BRADY, Alex ",Inside Forward,27,8,0,2,0,0,0,0,0
,"BRANDON, Harry ",Wing Half,25,1,0,0,0,0,0,0,0
,"BRASH, Archie ",Winger,18,0,0,0,0,0,0,0,0
,"CRAWSHAW, Tommy ",Centre Half,30,3,0,2,0,0,0,0,0
,"DAVIS, Harry ",Inside Forward,14,1,0,2,0,0,0,0,0
,"DRYBURGH, Willie ",Winger,15,3,0,2,0,0,0,0,0
,"EARP, Jack ",Full Back,28,1,1,2,0,0,0,0,0
,"FERRIER, Bob ",Wing Half,28,2,0,2,0,0,0,0,0
,"JAMIESON, Jimmy ",Wing Half,25,2,0,2,0,0,0,0,0
,"KAYE, Albert ",Centre Forward,25,9,0,2,1,0,0,0,0
,"LANGLEY, Ambrose ",Full Back,26,1,0,2,0,0,0,0,0
,"LAYTON, Willie ",Full Back,2,0,0,0,0,0,0,0,0
,"MALLINSON, WH ",Goalkeeper,1,0,0,0,0,0,0,0,0
,"MASSEY, Jimmy ",Goalkeeper,29,0,0,2,0,0,0,0,0
,"MELIA, Jimmy ",Full Back,2,0,0,0,0,0,0,0,0
,"POTTS, Harry ",Inside Forward,1,1,0,0,0,0,0,0,0
,"REGAN, Bill ",Wing Half,2,0,0,0,0,0,0,0,0
,"SPIKSLEY, Fred ",Winger,30,17,1,2,0,0,0,0,0
,"STEVENSON, Thomas ",Wing Half,2,0,0,0,0,0,0,0,0
