-- League --	--- FA Cup ---	---- Other ----

1905/06
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
ARNOLD, Thomas	Winger	
										
ASHCROFT, Jimmy	Goalkeeper	
										
BATEUP, Teddy	Goalkeeper	
										
BELLAMY, Jim	Wing Half	
										
BIGDEN, James	Wing Half	
										
BLAIR, Jimmy	Wing Half	
										
COLEMAN, Tim	Inside Forward	
										
CROSS, Archie	Full Back	
										
CROWE, Alfred	Centre Forward	
										
DICK, John	Wing Half	
										
DUCAT, Andy	Wing Half	
										
FITCHIE, Tom	Inside Forward	
										
FREEMAN, Bert	Centre Forward	
										
GARBUTT, Billy	Winger	
										
GRAY, Archie	Full Back	
										
GRICE, Neve	Winger	
										
KEMP, Fred	Winger	
										
MACDONALD, Hugh	Goalkeeper	
										
MACEACHRANE, Roddy	Wing Half	
										
MCGIBBON, Charlie	Centre Forward	
										
MINTER, Billy	Inside Forward	
										
NEAVE, David	Winger	
										
SANDS, Percy	Centre Half	
										
SATTERTHWAITE, Charlie	Inside Forward	
										
SHARP, Jimmy	Full Back	
										
TEMPLETON, Bobby	Winger	
										
THEOBALD, Stephen	Centre Half	
