Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ATKINSON, Jimmy ",Inside Forward,1,0,0,0,0,0,0,0,0
,"BATES, Billy ",Full Back,2,0,0,0,0,0,0,0,0
,"BAVERSTOCK, Bert ",Full Back,38,0,0,4,0,0,0,0,0
,"BOYD, John ",Wing Half,34,2,0,4,0,0,0,0,0
,"BROOMFIELD, Herbert ",Goalkeeper,6,0,0,0,0,0,0,0,0
,"CAMERON, William 'Kilty' ",Inside Forward,14,3,0,1,0,0,0,0,0
,"CLIFFORD, Bob ",Centre Half,36,3,0,4,1,0,0,0,0
,"DAVIDSON, Alex ",Centre Forward,0,0,0,0,0,0,0,0,0
,"DAVIES, Dai ",Goalkeeper,14,0,0,1,0,0,0,0,0
,"DEMPSEY, Edwin ",Inside Forward,7,1,0,0,0,0,0,0,0
,"EDMONDSON, John ",Goalkeeper,18,0,0,3,0,0,0,0,0
,"FLEETWOOD, Tommy ",Centre Half,0,0,0,0,0,0,0,0,0
,"FREEBAIRN, Archie ",Wing Half,1,0,0,0,0,0,0,0,0
,"GASKELL, Arthur ",Wing Half,37,2,0,4,0,0,0,0,0
,"HASELL, Bert ",Goalkeeper,0,0,0,0,0,0,0,0,0
,"MARSH, Sam ",Inside Forward,15,6,0,0,0,0,0,0,0
,"MCEWAN, Marshall ",Winger,35,1,0,4,0,0,0,0,0
,"OWEN, Jackie ",Inside Forward,19,5,0,4,0,0,0,0,0
,"RYDER, George ",Inside Forward,2,0,0,0,0,0,0,0,0
,"SHEPHERD, Albert ",Centre Forward,21,16,0,3,3,0,0,0,0
,"SLATER, Jack ",Full Back,2,0,0,0,0,0,0,0,0
,"STANLEY, Jack ",Full Back,27,0,0,4,0,0,0,0,0
,"STOKES, David ",Winger,33,5,0,4,1,0,0,0,0
,"STRUTHERS, Bob ",Full Back,9,0,0,0,0,0,0,0,0
,"TAYLOR, Bob ",Winger,2,0,0,0,0,0,0,0,0
,"THORP, Jimmy ",Wing Half,2,0,0,0,0,0,0,0,0
,"WEAVER, Billy ",Winger,4,1,0,0,0,0,0,0,0
,"WHITE, Wattie ",Inside Forward,36,14,0,4,0,0,0,0,0
,"WOLSTENHOLME, Tom ",Wing Half,3,0,0,0,0,0,0,0,0
