	-- League --	--- FA Cup ---	---- Other ----

1906/07
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
ASHTON, Herbert	Winger	
										
BARLOW, George	Winger	
										
BECTON, Martin	Winger	
										
BELL, Jack	Inside Forward	
										
BOND, Dickie	Winger	
										
BURTON, Jack	Inside Forward	
										
BUTLER, William	Full Back	
										
COOK, Walter	Full Back	
										
DANSON, Herbie	Winger	
										
DAWSON, Charlie	Winger	
										
DERBYSHIRE, Joe	Full Back	
										
FARRINGTON, George	Centre Forward	
										
GOODBURN, Harold	Winger	
										
HARTLEY, Percy	Wing Half	
										
HUNTER, John	Centre Half	
										
LAVERY, William	Full Back	
										
LOCKETT, Arthur	Winger	
										
LYON, Billy	Wing Half	
										
MANSFIELD, Eversley	Inside Forward	
										
MCBRIDE, Peter	Goalkeeper	
										
MCCALL, Joe	Centre Half	
										
MCLEAN, Jimmy	Wing Half	
										
PEARSON, Harry	Centre Forward	
										
ROBERTS, Billy	Inside Forward	
										
RODWAY, Tommy	Full Back	
										
SANDERSON, William	Winger	
										
SMITH, Percy	Centre Half	
										
STRINGFELLOW, Harry	Centre Half	
										
TAYLOR, Herbert	Goalkeeper	
										
TIERNEY, Herbert	Wing Half	
										
TOD, George	Wing Half	
										
WILSON, James	Inside Forward	
										
WINCHESTER, Jack	Full Back
