-- League --	--- FA Cup ---	---- Other ----

1906/07
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
ARROWSMITH, Arthur	Inside Forward	
										
AXCELL, Charlie	Winger	
										
BADDELEY, Amos	Winger	
										
BADDELEY, George	Wing Half	
										
BENSON, Harry	Full Back	
										
BROWN, Freddie	Inside Forward	
										
BURGESS, Charlie	Full Back	
										
CAPES, Adrian	Centre Forward	
										
CHALMERS, Jackie	Centre Forward	
										
COOK, Albert	Full Back	
										
CROXTON, Harry	Wing Half	
										
DAVIES, Lloyd	Full Back	
										
DAVIES, Billy	Winger	
										
FIELDING, Ross	Winger	
										
GALLIMORE, George	Inside Forward	
										
GRIFFITHS, Arthur	Inside Forward	
										
HOLFORD, Tom	Centre Half	
										
JONES, John Love	Winger	
										
MILLER, Jack	Winger	
										
MILLWARD, Ernie	Winger	
										
MULLINEUX, Ernie	Full Back	
										
OWEN, Syd	Winger	
										
RATHBONE, Fred	Goalkeeper	
										
ROOSE, Dick	Goalkeeper	
										
ROUSE, Fred	Inside Forward	
										
STURGESS, Albert	Wing Half	
										
TURNER, Ike	Goalkeeper	
										
WHITEHOUSE, Jack	Wing Half	
										
WILLIAMSON, Billy	Winger	
