Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ASHCROFT, Jimmy ",Goalkeeper,36,0,0,2,0,0,0,0,0
,"BASSETT, Ted ",Winger,0,0,0,0,0,0,0,0,0
,"BATEUP, Teddy ",Goalkeeper,2,0,0,0,0,0,0,0,0
,"BIGDEN, James ",Wing Half,6,0,0,0,0,0,0,0,0
,"COLEMAN, Tim ",Inside Forward,26,8,0,2,0,0,0,0,0
,"CROSS, Archie ",Full Back,11,0,0,0,0,0,0,0,0
,"DICK, John ",Wing Half,17,0,0,0,0,0,0,0,0
,"DUCAT, Andy ",Wing Half,18,1,0,2,0,0,0,0,0
,"FREEMAN, Bert ",Centre Forward,15,4,0,1,0,0,0,0,0
,"GARBUTT, Billy ",Winger,8,2,0,1,0,0,0,0,0
,"GRAY, Archie ",Full Back,30,0,0,2,0,0,0,0,0
,"HOARE, Gordon ",Inside Forward,1,0,0,0,0,0,0,0,0
,"KYLE, Peter ",Centre Forward,23,8,0,2,1,0,0,0,0
,"LEE, Harold ",Winger,18,5,0,0,0,0,0,0,0
,"LEWIS, Charlie ",Winger,13,8,0,0,0,0,0,0,0
,"MACEACHRANE, Roddy ",Wing Half,38,0,0,2,0,0,0,0,0
,"MORDUE, Jackie ",Winger,23,1,0,2,0,0,0,0,0
,"NEAVE, David ",Winger,35,7,0,2,0,0,0,0,0
,"QUAYLE, James ",Full Back,0,0,0,0,0,0,0,0,0
,"RODGER, James ",Winger,1,0,0,0,0,0,0,0,0
,"SANDS, Percy ",Centre Half,34,2,0,2,0,0,0,0,0
,"SATTERTHWAITE, Charlie ",Inside Forward,21,3,0,0,0,0,0,0,0
,"SATTERTHWAITE, Joe ",Inside Forward,5,1,0,0,0,0,0,0,0
,"SHARP, Jimmy ",Full Back,32,1,1,2,0,0,0,0,0
,"SHAW, Joe ",Full Back,2,0,0,0,0,0,0,0,0
,"THEOBALD, Stephen ",Centre Half,3,0,0,0,0,0,0,0,0
,"TOONE, Percy ",Goalkeeper,0,0,0,0,0,0,0,0,0
