Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BANNISTER, Jimmy ",Inside Forward,16,1,0,0,0,0,1,0,0
,"BELL, Alex ",Wing Half,20,2,0,6,0,0,1,0,0
,"BERRY, Bill ",Winger,1,0,0,0,0,0,0,0,0
,"BURGESS, Herbert ",Full Back,4,0,0,0,0,0,1,0,0
,"CHRISTIE, David ",Inside Forward,2,0,0,0,0,0,0,0,0
,"CURRY, Joseph ",Centre Half,8,0,0,0,0,0,0,0,0
,"DONNELLY, Tony ",Full Back,1,0,0,0,0,0,0,0,0
,"DOWNIE, Alex ",Wing Half,23,0,0,0,0,0,0,0,0
,"DUCKWORTH, Dick ",Wing Half,33,0,0,6,0,0,1,0,0
,"FORD, Joe ",Winger,4,0,0,0,0,0,0,0,0
,"HALSE, Harold ",Inside Forward,29,14,0,6,4,0,0,0,0
,"HARDMAN, Harold ",Winger,4,0,0,0,0,0,0,0,0
,"HAYES, Vince ",Full Back,22,0,0,6,0,0,0,0,0
,"HOLDEN, Dick ",Full Back,2,0,0,0,0,0,0,0,0
,"HULME, Aaron ",Full Back,3,0,0,0,0,0,0,0,0
,"LINKSON, Oscar ",Full Back,10,0,0,0,0,0,0,0,0
,"LIVINGSTONE, Geordie ",Inside Forward,11,3,0,2,0,0,0,0,0
,"MCGILLIVRAY, John ",Centre Half,2,0,0,0,0,0,0,0,0
,"MEREDITH, Billy ",Winger,34,0,0,4,0,0,1,0,0
,"MOGER, Harry ",Goalkeeper,36,0,0,6,0,0,1,0,0
,"PAYNE, Ernie ",Winger,2,1,0,0,0,0,0,0,0
,"PICKEN, John ",Inside Forward,13,3,0,0,0,0,1,0,0
,"QUIN, John ",Winger,1,0,0,0,0,0,0,0,0
,"ROBERTS, Charlie ",Centre Half,27,1,0,6,0,0,1,0,0
,"STACEY, George ",Full Back,32,0,0,6,0,0,1,0,0
,"THOMSON, Ernest ",Centre Half,1,0,0,0,0,0,0,0,0
,"TURNBULL, Sandy ",Inside Forward,19,5,1,6,4,0,0,0,0
,"TURNBULL, Jimmy ",Centre Forward,22,17,0,6,5,0,1,3,0
,"WALL, George ",Winger,34,11,0,6,0,0,1,1,0
,"WILCOX, Tom ",Goalkeeper,2,0,0,0,0,0,0,0,0
