-- League --	--- FA Cup ---	---- Other ----

1913/14
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
BETTRIDGE, Wally	Full Back	
										
BRIDGEMAN, Billy	Winger	
										
BRITTAN, Harold	Centre Forward	
										
BROWN, John	Winger	
										
CALDERHEAD, David	Centre Half	
										
DOWNING, Sam	Wing Half	
										
FAIRGRAY, Norrie	Winger	
										
FORD, Harry	Winger	
										
FREEMAN, Charlie	Inside Forward	
										
HALSE, Harold	Inside Forward	
										
HAMPTON, Colin	Goalkeeper	
										
HARROW, Jack	Full Back	
										
HUNTER, George	Wing Half	
										
LAKE, George	Wing Half	
										
LOGAN, Tom	Centre Half	
										
MACFARLANE, Sandy	Inside Forward	
										
MARSHALL, Owen	Full Back	
										
MIDDELBOE, Nils	Wing Half	
										
MOLYNEUX, Jimmy	Goalkeeper	
										
ORMISTON, Andrew	Centre Half	
										
SHARP, Jimmy	Full Back	
										
TAYLOR, Fred	Wing Half	
										
THOMSON, Bobby	Centre Forward	
										
TURNBULL, Jimmy	Centre Forward	
										
WALKER, Andy	Wing Half	
										
WHITLEY, Jack	Goalkeeper	
										
WHITTINGHAM, Bob	Inside Forward	
										
WOODWARD, Vivian	Inside Forward	
										
WOOSNAM, Max	Centre Half	
