
-- League --	--- FA Cup ---	---- Other ----

1914/15
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
BAVERSTOCK, Bert	Full Back	
										
BLEAKLEY, Tommy	Wing Half	
										
BUCHAN, Tom	Wing Half	
										
DAVIES, Wally	Inside Forward	
										
DONALDSON, Alex	Winger	
										
EDMONDSON, John	Goalkeeper	
										
FAY, Jimmy	Centre Half	
										
FEEBERY, Jack	Full Back	
										
GLENDENNING, Bob	Wing Half	
										
GUY, George	Centre Forward	
										
HEATHCOTE, Jimmy	Inside Forward	
										
HESLOP, Tom	Inside Forward	
										
HESMONDHALGH, Tom	Centre Forward	
										
HILTON, Harold	Inside Forward	
										
HODGKISS, Jack	Goalkeeper	
										
JENNINGS, Billy	Wing Half	
										
JONES, Evan	Inside Forward	
										
KAY, Tom	Goalkeeper	
										
KIDD, Jimmy	Goalkeeper	
										
LILLYCROP, George	Centre Forward	
										
ROBERTS, Frank	Centre Forward	
										
ROWLEY, Walter	Centre Half	
										
SEDDON, Jimmy	Central Defender	
										
SIDLOW, Edward	Goalkeeper	
										
SMITH, Joe	Inside Forward	
										
STOKES, David	Winger	
										
THOMAS, Joe	Wing Half	
										
TOONE, Percy	Goalkeeper	
										
VIZARD, Ted	Winger	
										
WALLACE, William	Winger	
										
WILSON, George	Full Back
