Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ANDERSON, Samuel ",Inside Forward,14,3,0,2,0,0,0,0,0
,"BOND, Dickie ",Winger,32,7,0,6,2,1,0,0,0
,"BOOCOCK, Irvine ",Full Back,30,0,0,5,0,0,0,0,0
,"BROWN, Craig ",Full Back,3,1,0,0,0,0,0,0,0
,"BUCKLEY, Frank ",Centre Half,4,0,0,0,0,0,0,0,0
,"CAMPBELL, Bob ",Full Back,17,0,0,0,0,0,0,0,0
,"CHAPLIN, George ",Full Back,15,0,0,5,0,0,0,0,0
,"CURRIE, Peter ",Winger,12,1,0,0,0,0,0,0,0
,"DEVINE, Archie ",Inside Forward,0,0,0,0,0,0,0,0,0
,"EWART, Jock ",Goalkeeper,37,0,0,6,0,0,0,0,0
,"FOX, Oscar ",Inside Forward,36,17,1,3,0,0,0,0,0
,"GRIMSHAW, Billy ",Winger,4,0,0,0,0,0,0,0,0
,"HARGREAVES, Joe ",Wing Half,29,0,0,4,0,0,0,0,0
,"HEATH, Ernie ",Goalkeeper,1,0,0,0,0,0,0,0,0
,"JENKINSON, Thomas ",Winger,1,0,0,0,0,0,0,0,0
,"LOGAN, Peter ",Winger,24,1,0,5,0,0,0,0,0
,"MARSHALL, Jimmy ",Centre Forward,12,3,0,4,0,0,0,0,0
,"MCDONALD, Jimmy ",Wing Half,32,6,0,6,1,0,0,0,0
,"MCILVENNY, Jimmy ",Inside Forward,30,4,0,4,0,0,0,0,0
,"O'ROURKE, Frank ",Centre Forward,0,0,0,1,0,0,0,0,0
,"POTTS, Fred ",Full Back,13,0,0,2,0,0,0,0,0
,"ROBINSON, George ",Wing Half,3,0,0,2,0,0,0,0,0
,"SHEPHERD, Albert ",Centre Forward,22,10,0,4,2,0,0,0,0
,"STORER, Charlie ",Centre Half,7,2,0,1,0,0,0,0,0
,"TORRANCE, Bob ",Centre Half,31,0,0,6,0,0,0,0,0
,"TREMELLING, Sol ",Centre Half,1,0,0,0,0,0,0,0,0
,"WADDELL, George ",Wing Half,6,0,0,0,0,0,0,0,0
,"WALDEN, Harold ",Centre Forward,2,0,0,0,0,0,0,0,0
