-- League --	--- FA Cup ---	---- Other ----

1921/22
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
BEST, Bobby	Winger	
										
BEW, Danny	Centre Half	
										
BLACK, John	Wing Half	
										
BROWN, Harry	Centre Forward	
										
BUCHAN, Charlie	Inside Forward	
										
CLACK, Ted	Winger	
										
CRESSWELL, Warney	Full Back	
										
CRINGAN, Jimmy	Central Defender	
										
DEMPSTER, James	Goalkeeper	
										
DONALDSON, Alex	Winger	
										
ELLIS, Billy	Winger	
										
ENGLAND, Ernie	Full Back	
										
FERGUSON, Robert	Centre Half	
										
GIBSON, Jock	Full Back	
										
GILHOOLEY, Mike	Centre Half	
										
HARPER, Bill	Goalkeeper	
										
HAWES, Arthur	Inside Forward	
										
HOBSON, Bert	Full Back	
										
HUNTER, George	Wing Half	
										
JOHNSTON, John	Full Back	
										
KASHER, Joe	Centre Half	
										
MARSHALL, Bobby	Inside Forward	
										
MARTIN, Harry	Winger	
										
MITTON, Jack	Wing Half	
										
MOORE, Billy	Inside Forward	
										
PARKER, Charlie	Centre Half	
										
PATERSON, Jock	Centre Forward	
										
POOLE, Jack	Wing Half	
										
SCOTT, Leslie	Goalkeeper	
										
STALEY, Victor	Centre Forward	
										
STANNARD, Paul	Centre Forward	
										
STEPHENSON, Jimmy	Winger	
										
YORK, Andy	Full Back	
										
YOUNG, Bob	Full Back	
