-- League --	--- FA Cup ---	---- Other ----

1922/23
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
BAMBER, Jack	Wing Half	
										
BEADLES, Harry	Inside Forward	
										
BROMILOW, Tom	Wing Half	
										
CHAMBERS, Harry	Inside Forward	
										
FORSHAW, Dick	Inside Forward	
										
GILHESPY, Cyril	Winger	
										
HOPKIN, Fred	Winger	
										
JOHNSON, Dick	Centre Forward	
										
KEEDWELL, Jack	Centre Forward	
										
LACEY, Billy	Winger	
										
LONGWORTH, Ephraim	Full Back	
										
LUCAS, Tommy	Full Back	
										
MCKINLAY, Donald	Full Back	
										
MCNAB, Jock	Wing Half	
										
MITCHELL, Ronald	Wing Half	
										
PRATT, David	Wing Half	
										
SAMBROOK, Jack	Centre Forward	
										
SCOTT, Elisha	Goalkeeper	
										
SHONE, Danny	Inside Forward	
										
SMITH, George	Wing Half	
										
WADSWORTH, Harold	Winger	
										
WADSWORTH, Walter	Centre Half	
										
WILKINSON, Algy	Goalkeeper	
