Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BAUGH, Dicky ",Full Back,0,0,0,0,0,0,0,0,0
,"BINGHAM, Harry ",Winger,0,0,0,0,0,0,0,0,0
,"BLAIR, Jimmy ",Full Back,36,0,0,5,0,0,0,0,0
,"CLENNELL, Joe ",Inside Forward,39,11,0,6,1,0,0,0,0
,"COLLINS, Elvet ",Winger,2,0,0,0,0,0,0,0,0
,"DAVIES, Len ",Inside Forward,38,23,0,6,1,0,0,0,0
,"EVANS, Herbie ",Wing Half,29,1,0,6,0,0,0,0,0
,"EVANS, Jack ",Winger,38,3,1,6,0,0,0,0,0
,"FARQUHARSON, Tom ",Goalkeeper,39,0,0,6,0,0,0,0,0
,"GILL, Jimmy ",Inside Forward,39,15,0,6,4,0,0,0,0
,"GRIMSHAW, Billy ",Winger,15,1,0,0,0,0,0,0,0
,"HAGAN, Alfie ",Inside Forward,5,1,0,0,0,0,0,0,0
,"HARDY, Billy ",Wing Half,39,3,0,6,0,0,0,0,0
,"JAMES, Alfred ",Winger,0,0,0,0,0,0,0,0,0
,"JENKINS, Eddie ",Wing Half,3,0,0,0,0,0,0,0,0
,"JONES, Jimmy ",Centre Forward,12,2,0,0,0,0,0,0,0
,"KEENOR, Fred ",Central Defender,39,1,0,6,0,0,0,0,0
,"KNEESHAW, Jack ",Goalkeeper,3,0,0,0,0,0,0,0,0
,"LAWSON, Denis ",Winger,18,0,0,6,0,0,0,0,0
,"MCKENZIE, Kenneth ",Centre Half,0,0,0,0,0,0,0,0,0
,"MCLAUGHLAN, Bob ",Winger,0,0,0,0,0,0,0,0,0
,"NELSON, Jimmy ",Full Back,42,0,0,6,0,0,0,0,0
,"PAGE, Jack ",Full Back,6,0,0,1,0,0,0,0,0
,"ROBB, Willie ",Goalkeeper,0,0,0,0,0,0,0,0,0
,"SMITH, Bert ",Centre Half,4,0,0,0,0,0,0,0,0
,"TAYLOR, Billy ",Winger,4,0,0,0,0,0,0,0,0
,"WAKE, Harry ",Wing Half,12,0,0,0,0,0,0,0,0
