Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ASHURST, Elias ",Full Back,3,0,0,2,0,0,0,0,0
,"BARTON, Percy ",Wing Half,21,0,0,1,0,0,0,0,0
,"BOWDEN, Fred ",Winger,1,0,0,0,0,0,0,0,0
,"BRADFORD, Joe ",Centre Forward,32,26,1,2,1,1,0,0,0
,"BRIGGS, George ",Winger,34,13,0,2,1,0,0,0,0
,"BRUCE, Harry ",Central Defender,1,0,0,0,0,0,0,0,0
,"CASTLE, Frederick ",Centre Forward,2,0,0,0,0,0,0,0,0
,"CRINGAN, Jimmy ",Central Defender,27,1,1,1,0,0,0,0,0
,"CROSBIE, Johnny ",Inside Forward,40,8,0,2,0,0,0,0,0
,"DALE, Dickie ",Wing Half,24,0,0,1,0,0,0,0,0
,"HARRIS, Wallace ",Winger,39,4,0,2,0,0,0,0,0
,"HIBBS, Harry ",Goalkeeper,1,0,0,0,0,0,0,0,0
,"HUNTER, Bill ",Centre Half,18,0,0,1,0,0,0,0,0
,"ISLIP, Ernie ",Inside Forward,15,7,0,1,0,0,0,0,0
,"JONES, Jack ",Full Back,40,1,1,2,0,0,0,0,0
,"LIDDELL, George ",Wing Half,39,0,0,2,0,0,0,0,0
,"LINLEY, Ted ",Winger,16,2,0,0,0,0,0,0,0
,"RUSSELL, Jack ",Winger,14,1,0,1,1,0,0,0,0
,"SCRIVEN, Aubrey ",Winger,15,2,0,0,0,0,0,0,0
,"TREMELLING, Dan ",Goalkeeper,41,0,0,2,0,0,0,0,0
,"VINEY, Edward ",Centre Forward,0,0,0,0,0,0,0,0,0
,"WOMACK, Frank ",Full Back,39,0,0,0,0,0,0,0,0
