
-- League --	--- FA Cup ---	---- Other ----

1926/27
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
ADAMSON, Tommy	Full Back	
										
AMOS, Wally	Winger	
										
BALL, Jack	Inside Forward	
										
BRADSHAW, Tom	Central Defender	
										
BROOME, Harry	Inside Forward	
										
BULLOCK, Norman	Centre Forward	
										
CHAMBERS, Jimmy	Winger	
										
CHESTER, Tommy	Full Back	
										
DAVIES, Jack	Goalkeeper	
										
DUTTON, Harry	Wing Half	
										
FARE, Harry	Full Back	
										
FINNEY, Arthur	Central Defender	
										
GALE, Arthur	Winger	
										
HARRISON, Billy	Goalkeeper	
										
HEAP, Fred	Full Back	
										
HOLMES, Tommy	Wing Half	
										
HUGHES, Joe	Centre Forward	
										
LONGWORTH, Bruce	Wing Half	
										
MASSIE, Alex	Wing Half	
										
MATTHEWS, Cyril	Winger	
										
PHILIPSON, John	Winger	
										
PORTER, Jimmy	Wing Half	
										
RICHARDSON, Billy	Goalkeeper	
										
ROBBIE, David	Winger	
										
ROBINSON, Alick	Wing Half	
										
SMITH, Fred	Full Back	
										
STAGE, Billy	Inside Forward	
										
TURNER, Bill	Wing Half	
										
WARD, Frank	Full Back	
										
WYNNE, Sam	Full Back
