-- League --	--- FA Cup ---	---- Other ----

1928/29
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
BAXTER, Thomas	Full Back	
										
BOURTON, Clarrie	Centre Forward	
										
CAMPBELL, Austen	Wing Half	
										
COPE, Harold	Goalkeeper	
										
CRAWFORD, Jock	Goalkeeper	
										
GROVES, Arthur	Inside Forward	
										
HEALLESS, Harry	Wing Half	
										
HUTTON, Jock	Full Back	
										
JONES, Herbert	Full Back	
										
KEATING, Albert	Inside Forward	
										
LUCAS, Frank	Centre Forward	
										
MCLEAN, Tommy	Inside Forward	
										
MITCHELL, Tommy	Winger	
										
O'DOWD, Peter	Central Defender	
										
PUDDEFOOT, Syd	Inside Forward	
										
RAITT, David	Full Back	
										
RANKIN, Willie	Central Defender	
										
RIGBY, Arthur	Winger	
										
ROSCAMP, Jack	Wing Half	
										
ROXBURGH, Robert	Full Back	
										
THORNEWELL, George	Winger	
										
TITTERINGTON, Bill	Inside Forward	
										
WHYTE, John	Wing Half
