-- League --	--- FA Cup ---	---- Other ----

1928/29
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
AUSTIN, Billy	Winger	
										
BACON, Arthur	Centre Forward	
										
BARBER, Lewis	Goalkeeper	
										
BARRASS, Matt	Inside Forward	
										
BENNETT, Edward	Full Back	
										
BROADHURST, Charlie	Centre Forward	
										
BROOK, Eric	Winger	
										
CONDON, Bernard	Centre Forward	
										
COWAN, Sam	Central Defender	
										
FELTON, Billy	Full Back	
										
GIBBONS, Syd	Central Defender	
										
GRAY, Bert	Goalkeeper	
										
HEINEMANN, George	Wing Half	
										
HEYWOOD, George	Full Back	
										
HICKS, George	Winger	
										
HORNE, Alf	Winger	
										
JOHNSON, Tommy	Inside Forward	
										
LEWINS, George	Full Back	
										
MARSHALL, Bobby	Inside Forward	
										
MCCLOY, Phil	Full Back	
										
MCMULLAN, Jimmy	Wing Half	
										
RIDLEY, Mick	Full Back	
										
ROBERTS, Frank	Centre Forward	
										
ROXBURGH, Alex	Goalkeeper	
										
TAIT, Tommy	Centre Forward	
										
TERRY, Cyril	Full Back	
										
TILSON, Fred	Inside Forward	
										
TOSELAND, Ernie	Winger	
