	-- League --	--- FA Cup ---	---- Other ----

1929/30
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
BEEL, George	Centre Forward	
										
BOWSHER, Stan	Central Defender	
										
BROWN, Jimmy	Wing Half	
										
BRUTON, Jack	Winger	
										
CHAMBERS, Bill	Inside Forward	
										
DEVINE, Joe	Inside Forward	
										
DOWN, Billy	Goalkeeper	
										
FITTON, Fred	Centre Forward	
										
FORREST, Alex	Wing Half	
										
HARKER, Willie	Inside Forward	
										
HENDERSON, Bob	Winger	
										
HESLOP, Archie	Winger	
										
HUTCHINSON, Alex	Winger	
										
KNOX, William	Full Back	
										
MANTLE, Joe	Centre Forward	
										
MCCLUGGAGE, Andy	Full Back	
										
O'DOWD, Peter	Central Defender	
										
PAGE, Louis	Winger	
										
PLUMMER, Harold	Full Back	
										
PREST, Tommy	Inside Forward	
										
RICHMOND, Gilbert	Full Back	
										
RYDER, Frank	Winger	
										
SOMMERVILLE, George	Goalkeeper	
										
STAGE, Billy	Inside Forward	
										
STEEL, John	Wing Half	
										
STORER, Harry	Wing Half	
										
WADSWORTH, Sam	Full Back	
										
WALLACE, James	Inside Forward	
										
WATERFIELD, George	Full Back	
										
WILLIGHAN, Tommy	Full Back	
