Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"AINSLEY, George ",Centre Forward,13,5,0,1,0,0,0,0,0
,"ARMES, Sammy ",Winger,20,1,0,0,0,0,0,0,0
,"BROWN, George ",Centre Forward,4,1,0,0,0,0,0,0,0
,"BROWNE, Bobby ",Wing Half,16,0,0,0,0,0,0,0,0
,"BUCKLEY, Arthur ",Winger,30,5,0,1,0,0,0,0,0
,"COCHRANE, Tom ",Winger,2,0,0,0,0,0,0,0,0
,"DUGGAN, Harry ",Winger,1,0,0,0,0,0,0,0,0
,"EDWARDS, Willis ",Wing Half,35,3,0,1,0,0,0,0,0
,"FURNESS, Billy ",Inside Forward,27,5,0,0,0,0,0,0,0
,"GADSBY, Ken ",Full Back,1,0,0,0,0,0,0,0,0
,"HARGREAVES, Jackie ",Winger,10,2,0,0,0,0,0,0,0
,"HODGSON, Gordon ",Inside Forward,13,6,0,0,0,0,0,0,0
,"HOLLEY, Tom ",Central Defender,7,0,0,0,0,0,0,0,0
,"HYDES, Arthur ",Centre Forward,19,11,0,1,0,0,0,0,0
,"KANE, Bob ",Central Defender,27,0,0,1,0,0,0,0,0
,"KELLY, Jack ",Centre Forward,10,1,0,0,0,0,0,0,0
,"LOWE, Richard ",Centre Forward,0,0,0,0,0,0,0,0,0
,"MAKINSON, James ",Wing Half,5,0,0,0,0,0,0,0,0
,"MCDOUGALL, Jock ",Central Defender,12,0,0,0,0,0,0,0,0
,"MCINROY, Albert ",Goalkeeper,26,0,0,0,0,0,0,0,0
,"MILBURN, George ",Full Back,16,0,0,1,0,0,0,0,0
,"MILBURN, Jack ",Full Back,38,4,3,0,0,0,0,0,0
,"MILLS, Fred ",Wing Half,31,0,0,1,0,0,0,0,0
,"POWELL, Aubrey ",Inside Forward,11,2,0,1,0,0,0,0,0
,"POWELL, Alf ",Winger,0,0,0,0,0,0,0,0,0
,"SAVAGE, Reg ",Goalkeeper,16,0,0,1,0,0,0,0,0
,"SPROSTON, Bert ",Full Back,23,0,0,1,0,0,0,0,0
,"STEPHENSON, Eric ",Inside Forward,22,6,0,0,0,0,0,0,0
,"THOMSON, John ",Inside Forward,16,5,0,0,0,0,0,0,0
,"TRAINER, Jack ",Centre Forward,2,0,0,1,0,0,0,0,0
,"TURNER, John ",Winger,9,0,0,0,0,0,0,0,0
