Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BATEMAN, Arthur ",Full Back,31,0,0,4,0,0,0,0,0
,"BROWN, Billy 'Buster' ",Wing Half,41,0,0,4,0,0,0,0,0
,"CROZIER, Joe ",Goalkeeper,35,0,0,4,0,0,0,0,0
,"EASTHAM, George ",Inside Forward,38,0,0,1,0,0,0,0,0
,"EDELSTON, Maurice ",Inside Forward,2,1,0,0,0,0,0,0,0
,"HOLLIDAY, Jack ",Centre Forward,8,2,0,4,1,0,0,0,0
,"HOPKINS, Dai ",Winger,31,5,0,3,0,0,0,0,0
,"JAMES, Joe ",Central Defender,35,0,0,4,0,0,0,0,0
,"MATHIESON, Jimmy ",Goalkeeper,7,0,0,0,0,0,0,0,0
,"MCALOON, Gerry ",Inside Forward,7,5,0,0,0,0,0,0,0
,"MCCULLOCH, Dave ",Centre Forward,41,26,0,3,3,0,0,0,0
,"MCKENZIE, Duncan ",Wing Half,31,4,3,2,0,0,0,0,0
,"MOWATT, Magnus ",Winger,0,0,0,0,0,0,0,0,0
,"POYSER, George ",Full Back,16,0,0,0,0,0,0,0,0
,"REID, Bobby ",Winger,40,17,0,4,1,0,0,0,0
,"SCOTT, Archie ",Wing Half,1,0,0,0,0,0,0,0,0
,"SCOTT, Billy ",Inside Forward,29,8,0,4,0,0,0,0,0
,"SMITH, Leslie ",Winger,15,1,0,1,0,0,0,0,0
,"SNEDDON, Billy ",Wing Half,39,0,0,4,0,0,0,0,0
,"WILSON, Joe ",Central Defender,15,0,0,2,1,1,0,0,0
