Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ALLEN, Bryn ",Inside Forward,0,0,0,0,0,0,0,0,0
,"BRADBURY, Len ",Inside Forward,2,1,0,0,0,0,0,0,0
,"BREEDON, Jack ",Goalkeeper,22,0,0,0,0,0,0,0,0
,"BREEN, Tom ",Goalkeeper,6,0,0,0,0,0,0,0,0
,"BROWN, Jimmy ",Wing Half,3,0,0,0,0,0,0,0,0
,"BRYANT, Bill ",Winger,27,6,0,0,0,0,0,0,0
,"CAREY, Johnny ",Full Back,32,6,0,2,0,0,0,0,0
,"CRAVEN, Charlie ",Inside Forward,11,2,0,0,0,0,0,0,0
,"DOUGAN, Tommy ",Winger,4,0,0,0,0,0,0,0,0
,"GIBSON, Reg ",Central Defender,0,0,0,0,0,0,0,0,0
,"GLADWIN, Willie ",Wing Half,12,0,0,1,0,0,0,0,0
,"GRIFFITHS, Jack ",Full Back,35,0,0,2,0,0,0,0,0
,"HANLON, Johnny ",Centre Forward,27,12,0,2,0,0,0,0,0
,"HASLAM, Harry ",Full Back,0,0,0,0,0,0,0,0,0
,"MACKENZIE, John ",Centre Forward,0,0,0,0,0,0,0,0,0
,"MANLEY, Tom ",Wing Half,23,3,0,0,0,0,0,0,0
,"MCKAY, Billy ",Wing Half,20,1,0,2,0,0,0,0,0
,"PEARSON, Stan ",Inside Forward,9,1,0,0,0,0,0,0,0
,"REDWOOD, Hubert ",Full Back,35,1,0,2,1,0,0,0,0
,"ROUGHTON, George ",Full Back,14,0,0,0,0,0,0,0,0
,"ROWLEY, Jack ",Centre Forward,38,10,0,1,0,0,0,0,0
,"SMITH, Jack ",Centre Forward,19,6,0,1,0,0,0,0,0
,"TAPKEN, Norman ",Goalkeeper,14,0,0,2,0,0,0,0,0
,"VOSE, George ",Central Defender,39,0,0,1,0,0,0,0,0
,"WARNER, Jack ",Wing Half,29,0,0,2,0,0,0,0,0
,"WASSALL, Jackie ",Inside Forward,27,4,0,2,0,0,0,0,0
,"WHALLEY, Bert ",Wing Half,2,0,0,0,0,0,0,0,0
,"WRIGGLESWORTH, Billy ",Winger,12,3,0,2,0,0,0,0,0
