Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ANDERSON, Jock ",Inside Forward,0,0,0,0,0,0,3,1,0
,"BARLOW, Bert ",Inside Forward,0,0,0,0,0,0,3,1,0
,"GRIFFITHS, Steve ",Inside Forward,0,0,0,0,0,0,0,0,0
,"KEELEY, Arthur ",Centre Forward,0,0,0,0,0,0,0,0,0
,"MCALINDEN, Jimmy ",Inside Forward,0,0,0,0,0,0,3,0,0
,"MORGAN, Lew ",Full Back,0,0,0,0,0,0,3,0,0
,"PARKER, Cliff ",Winger,0,0,0,0,0,0,3,0,0
,"PASSMORE, Eddie ",Centre Forward,0,0,0,0,0,0,0,0,0
,"ROCHFORD, Bill ",Full Back,0,0,0,0,0,0,3,0,0
,"ROWE, Tommy ",Central Defender,0,0,0,0,0,0,3,0,0
,"SMITH, Abe ",Wing Half,0,0,0,0,0,0,3,0,0
,"WALKER, Harry ",Goalkeeper,0,0,0,0,0,0,3,0,0
,"WHARTON, Guy ",Wing Half,0,0,0,0,0,0,3,0,0
,"WORRALL, Fred ",Winger,0,0,0,0,0,0,3,1,0
