Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ANTONIO, George ",Inside Forward,11,1,0,0,0,0,0,0,0
,"BROOME, Frank ",Winger,35,17,0,3,0,0,0,0,0
,"BULLIONS, Jimmy ",Wing Half,13,0,0,1,0,0,0,0,0
,"CARTER, Raich ",Inside Forward,33,19,0,4,2,0,0,0,0
,"COLLINS, Jim ",Inside Forward,0,0,0,0,0,0,0,0,0
,"CROOKS, Sammy ",Winger,3,0,0,0,0,0,0,0,0
,"DOHERTY, Peter ",Inside Forward,15,7,2,0,0,0,0,0,0
,"DUNCAN, Dally ",Winger,2,0,0,0,0,0,0,0,0
,"GRANT, Alick ",Goalkeeper,11,0,0,3,0,0,0,0,0
,"HARRISON, Reg ",Winger,23,3,0,4,0,0,0,0,0
,"HOWE, Jack ",Full Back,35,0,0,4,0,0,0,0,0
,"KNIGHT, Jeff ",Inside Forward,0,0,0,0,0,0,0,0,0
,"LEUTY, Leon ",Central Defender,34,0,0,4,0,0,0,0,0
,"LOCKIER, Maurice ",Winger,0,0,0,0,0,0,0,0,0
,"MCCORMICK, Harry ",Winger,5,0,0,0,0,0,0,0,0
,"MCGILL, Jimmy ",Inside Forward,4,0,0,0,0,0,0,0,0
,"MCLACHLAN, Steve ",Wing Half,6,0,0,0,0,0,0,0,0
,"MORRISON, Angus ",Winger,19,8,0,4,0,0,0,0,0
,"MOZLEY, Bert ",Full Back,21,0,0,4,0,0,0,0,0
,"MUSSON, Chick ",Wing Half,41,0,0,4,0,0,0,0,0
,"NICHOLAS, Jack ",Wing Half,9,0,0,0,0,0,0,0,0
,"PARR, Jackie ",Full Back,18,0,0,0,0,0,0,0,0
,"PEART, Ron ",Central Defender,1,0,0,0,0,0,0,0,0
,"POPPITT, Johnny ",Full Back,3,0,0,0,0,0,0,0,0
,"POWELL, Kenny ",Winger,13,0,0,0,0,0,0,0,0
,"STAMPS, Jackie ",Centre Forward,40,17,3,4,2,0,0,0,0
,"TOWNSEND, Billy ",Goalkeeper,1,0,0,0,0,0,0,0,0
,"WALSH, Wilf ",Inside Forward,1,0,0,0,0,0,0,0,0
,"WARD, Tim ",Wing Half,32,1,0,4,1,0,0,0,0
,"WILCOX, George ",Full Back,3,0,0,0,0,0,0,0,0
,"WOODLEY, Vic ",Goalkeeper,30,0,0,1,0,0,0,0,0
