Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ARMSTRONG, Ken ",Wing Half,42,11,0,2,2,0,0,0,0
,"BATHGATE, Syd ",Full Back,32,0,0,2,0,0,0,0,0
,"BENTLEY, Roy ",Centre Forward,14,3,0,1,0,0,0,0,0
,"BILLINGTON, Hugh ",Centre Forward,11,2,0,0,0,0,0,0,0
,"BOWIE, Jimmy ",Inside Forward,22,5,0,1,1,0,0,0,0
,"CAMPBELL, Bobby ",Winger,32,11,0,2,1,0,0,0,0
,"DICKSON, Bill ",Wing Half,1,0,0,0,0,0,0,0,0
,"DOLDING, Len ",Winger,9,1,0,0,0,0,0,0,0
,"DYKE, Charlie ",Winger,13,1,0,0,0,0,0,0,0
,"FOSS, Dick ",Inside Forward,3,0,0,2,0,0,0,0,0
,"GALLOWAY, John ",Inside Forward,1,0,0,0,0,0,0,0,0
,"GODDARD, Ray ",Central Defender,9,1,0,1,0,0,0,0,0
,"GOULDEN, Len ",Inside Forward,27,4,1,2,1,0,0,0,0
,"HARRIS, John ",Central Defender,41,2,0,1,0,0,0,0,0
,"HUGHES, Billy ",Full Back,8,0,0,0,0,0,0,0,0
,"JONES, Benny ",Winger,11,0,0,2,0,0,0,0,0
,"LAWTON, Tommy ",Centre Forward,8,4,0,0,0,0,0,0,0
,"LEWIS, Fred ",Full Back,12,0,0,0,0,0,0,0,0
,"MACAULEY, Jimmy ",Wing Half,15,0,0,0,0,0,0,0,0
,"MACHIN, Alec ",Wing Half,16,1,0,0,0,0,0,0,0
,"MCINNES, John ",Winger,15,0,0,0,0,0,0,0,0
,"MCKIM, Johnny ",Inside Forward,0,0,0,0,0,0,0,0,0
,"MCKNIGHT, Phil ",Wing Half,1,0,0,0,0,0,0,0,0
,"MEDHURST, Harry ",Goalkeeper,27,0,0,2,0,0,0,0,0
,"ROBERTSON, Bill ",Goalkeeper,15,0,0,0,0,0,0,0,0
,"SIMNER, Joe ",Inside Forward,1,0,0,0,0,0,0,0,0
,"SPENCE, Dickie ",Winger,6,0,0,0,0,0,0,0,0
,"WALKER, Tommy ",Inside Forward,38,7,1,2,0,0,0,0,0
,"WHITE, Alex ",Full Back,4,0,0,0,0,0,0,0,0
,"WILSON, Jimmy 'Tug' ",Inside Forward,0,0,0,0,0,0,0,0,0
,"WINTER, Danny ",Full Back,28,0,0,2,0,0,0,0,0
