Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BEALE, John ",Wing Half,9,0,0,0,0,0,0,0,0
,"BENNETT, Ron ",Winger,3,0,0,0,0,0,0,0,0
,"BUTLER, Ernie ",Goalkeeper,34,0,0,4,0,0,0,0,0
,"CLARKE, Ike ",Centre Forward,11,2,0,1,1,0,0,0,0
,"DALE, Gordon ",Winger,8,0,0,0,0,0,0,0,0
,"DICKINSON, Jimmy ",Wing Half,40,0,0,4,0,0,0,0,0
,"DORE, Charlie ",Goalkeeper,8,0,0,0,0,0,0,0,0
,"EARL, Stan ",Full Back,5,0,0,0,0,0,0,0,0
,"EDWARDS, Brian ",Full Back,1,0,0,0,0,0,0,0,0
,"FERRIER, Harry ",Full Back,32,4,3,4,0,0,0,0,0
,"FLEWIN, Reg ",Central Defender,1,0,0,0,0,0,0,0,0
,"FROGGATT, Jack ",Winger,37,1,0,4,0,0,0,0,0
,"GAILLARD, Marcel ",Winger,30,5,0,4,5,0,0,0,0
,"GORDON, Johnny ",Inside Forward,3,0,0,0,0,0,0,0,0
,"GUNTER, Phil ",Full Back,17,0,0,4,0,0,0,0,0
,"HARRIS, Peter ",Winger,40,9,0,4,1,0,0,0,0
,"HARRISON, Bernie ",Winger,0,0,0,0,0,0,0,0,0
,"HENDERSON, Jackie ",Centre Forward,27,8,0,2,0,0,0,0,0
,"MANSELL, Barry ",Full Back,3,0,0,0,0,0,0,0,0
,"MUNDY, Albert ",Inside Forward,13,4,0,3,2,0,0,0,0
,"PHILLIPS, Len ",Inside Forward,37,13,0,3,1,0,0,0,0
,"PICKETT, Reg ",Wing Half,8,1,0,0,0,0,0,0,0
,"REID, Duggie ",Inside Forward,30,16,0,3,2,0,0,0,0
,"RYDER, Terry ",Winger,5,1,0,0,0,0,0,0,0
,"SCOULAR, Jimmy ",Wing Half,28,2,0,4,0,0,0,0,0
,"SQUIRES, Barry ",Winger,0,0,0,0,0,0,0,0,0
,"STEPHEN, Jimmy ",Full Back,24,0,0,0,0,0,0,0,0
,"THOMPSON, Bill ",Full Back,5,0,0,0,0,0,0,0,0
,"WILSON, Alex ",Full Back,1,0,0,0,0,0,0,0,0
,"YEUELL, Jasper ",Full Back,2,0,0,0,0,0,0,0,0
