Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BATTY, Ron ",Full Back,13,0,0,1,0,0,0,0,0
,"BRENNAN, Frank ",Central Defender,39,0,0,5,0,0,0,0,0
,"BROADIS, Ivor ",Inside Forward,23,10,0,5,3,0,0,0,0
,"CAHILL, Tommy ",Full Back,1,0,0,0,0,0,0,0,0
,"CASEY, Tommy ",Wing Half,14,0,0,1,0,0,0,0,0
,"COOPER, Joe ",Wing Half,2,0,0,0,0,0,0,0,0
,"COWELL, Bobby ",Full Back,41,0,0,4,0,0,0,0,0
,"CROWE, Charlie ",Wing Half,17,0,0,0,0,0,0,0,0
,"DAVIES, Reg ",Inside Forward,19,6,0,0,0,0,0,0,0
,"FOULKES, Billy ",Winger,16,0,0,3,0,0,0,0,0
,"GASKELL, Alec ",Centre Forward,1,0,0,0,0,0,0,0,0
,"GREENER, Ron ",Central Defender,3,0,0,0,0,0,0,0,0
,"HANNAH, George ",Inside Forward,28,7,0,3,0,0,0,0,0
,"KEEBLE, Vic ",Centre Forward,11,6,0,1,1,0,0,0,0
,"KEERY, Stan ",Wing Half,6,1,0,0,0,0,0,0,0
,"MCMICHAEL, Alf ",Full Back,28,0,0,5,0,0,0,0,0
,"MILBURN, Jackie ",Centre Forward,39,16,2,5,2,0,0,0,0
,"MITCHELL, Bobby ",Winger,35,14,1,5,2,1,0,0,0
,"MONKHOUSE, Alan ",Centre Forward,14,8,0,1,0,0,0,0,0
,"MULGREW, Tommy ",Inside Forward,1,1,0,0,0,0,0,0,0
,"PUNTON, Bill ",Winger,1,0,0,0,0,0,0,0,0
,"SCOULAR, Jimmy ",Wing Half,27,1,0,5,0,0,0,0,0
,"SIMPSON, Ronnie ",Goalkeeper,42,0,0,5,0,0,0,0,0
,"STOKOE, Bob ",Central Defender,25,0,0,4,0,0,0,0,0
,"WALKER, Tommy ",Winger,4,0,0,1,0,0,0,0,0
,"WHITE, Len ",Inside Forward,12,2,0,1,1,0,0,0,0
