Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"AITKEN, George ",Wing Half,36,1,0,7,0,0,0,0,0
,"ANDERSON, Stan ",Wing Half,41,4,3,7,0,0,0,0,0
,"BINGHAM, Billy ",Winger,35,10,0,7,0,0,0,0,0
,"BONE, John ",Central Defender,2,0,0,0,0,0,0,0,0
,"CHISHOLM, Ken ",Inside Forward,37,18,0,6,4,0,0,0,0
,"DANIEL, Ray ",Central Defender,38,0,0,7,0,0,0,0,0
,"DODDS, Les ",Goalkeeper,4,0,0,0,0,0,0,0,0
,"ELLIOTT, Billy ",Winger,40,0,0,7,1,0,0,0,0
,"EVANS, John ",Inside Forward,1,0,0,0,0,0,0,0,0
,"FLEMING, Charlie ",Centre Forward,13,6,0,4,2,0,0,0,0
,"FRASER, Willie ",Goalkeeper,38,0,0,7,0,0,0,0,0
,"HALL, Fred ",Central Defender,2,0,0,0,0,0,0,0,0
,"HEDLEY, Jack ",Full Back,42,0,0,7,0,0,0,0,0
,"HUDGELL, Arthur ",Full Back,1,0,0,0,0,0,0,0,0
,"KEMP, Sammy ",Winger,3,0,0,0,0,0,0,0,0
,"KIRTLEY, Harry ",Inside Forward,5,0,0,0,0,0,0,0,0
,"MCDONALD, Joe ",Full Back,41,0,0,7,0,0,0,0,0
,"MCSEVENEY, John ",Winger,3,0,0,0,0,0,0,0,0
,"MORRISON, Willie ",Wing Half,1,0,0,0,0,0,0,0,0
,"MORTON, Keith ",Winger,0,0,0,0,0,0,0,0,0
,"PASSMOOR, Tommy ",Central Defender,0,0,0,0,0,0,0,0,0
,"PURDON, Ted ",Centre Forward,36,15,0,5,3,0,0,0,0
,"SHACKLETON, Len ",Inside Forward,32,8,0,6,1,0,0,0,0
,"SNELL, Bert ",Wing Half,3,1,0,0,0,0,0,0,0
,"WOOD, Norman ",Wing Half,1,0,0,0,0,0,0,0,0
,"WRIGHT, Arthur ",Wing Half,2,0,0,0,0,0,0,0,0
,"WRIGHT, Tommy ",Winger,5,0,0,0,0,0,0,0,0
