Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BAILY, Eddie ",Inside Forward,41,12,0,3,0,0,0,0,0
,"BAKER, Peter ",Full Back,8,0,0,0,0,0,0,0,0
,"BENNETT, Les ",Inside Forward,6,2,0,0,0,0,0,0,0
,"BLANCHFLOWER, Danny ",Wing Half,22,0,0,3,0,0,0,0,0
,"BRITTAN, Colin ",Wing Half,10,0,0,0,0,0,0,0,0
,"BROOKS, Johnny ",Inside Forward,31,7,0,3,4,0,0,0,0
,"CLARKE, Harry ",Central Defender,36,0,0,3,0,0,0,0,0
,"DITCHBURN, Ted ",Goalkeeper,16,0,0,0,0,0,0,0,0
,"DOWSETT, Dickie ",Inside Forward,1,1,0,0,0,0,0,0,0
,"DUNMORE, Dave ",Centre Forward,22,7,0,1,0,0,0,0,0
,"DUQUEMIN, Len ",Centre Forward,19,8,0,2,1,0,0,0,0
,"DYSON, Terry ",Winger,1,0,0,0,0,0,0,0,0
,"GAVIN, Johnny ",Winger,29,13,0,2,1,0,0,0,0
,"HARMER, Tommy ",Inside Forward,5,0,0,0,0,0,0,0,0
,"HENRY, Ron ",Full Back,1,0,0,0,0,0,0,0,0
,"HOPKINS, Mel ",Full Back,32,0,0,3,0,0,0,0,0
,"HUMPHRIES, Bob ",Wing Half,0,0,0,0,0,0,0,0,0
,"JULIANS, Len ",Centre Forward,0,0,0,0,0,0,0,0,0
,"KING, Derek ",Central Defender,5,0,0,0,0,0,0,0,0
,"MARCHI, Tony ",Wing Half,32,0,0,3,0,0,0,0,0
,"MCCLELLAN, Sid ",Winger,11,8,0,0,0,0,0,0,0
,"NICHOLSON, Bill ",Wing Half,10,0,0,0,0,0,0,0,0
,"PRICE, Jack ",Central Defender,0,0,0,0,0,0,0,0,0
,"RAMSEY, Alf ",Full Back,33,3,3,3,0,0,0,0,0
,"REYNOLDS, Ron ",Goalkeeper,26,0,0,3,0,0,0,0,0
,"ROBB, George ",Winger,36,8,0,3,1,0,0,0,0
,"WALTERS, Sonny ",Winger,7,2,0,1,0,0,0,0,0
,"WETTON, Ralph ",Wing Half,5,0,0,0,0,0,0,0,0
,"WITHERS, Charlie ",Full Back,11,0,0,0,0,0,0,0,0
,"WOODS, Alan ",Wing Half,6,0,0,0,0,0,0,0,0
