Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BARNES, Ken ",Wing Half,31,2,2,2,0,0,0,0,0
,"CLARKE, Roy ",Winger,40,11,0,2,0,0,1,0,0
,"DYSON, Jack ",Inside Forward,32,12,0,2,0,0,1,0,0
,"EWING, Dave ",Central Defender,34,0,0,2,0,0,1,0,0
,"FAGAN, Paddy ",Winger,31,9,0,2,1,0,1,0,0
,"FERNS, Phil ",Central Defender,0,0,0,0,0,0,0,0,0
,"HANNAWAY, Jack ",Full Back,2,0,0,0,0,0,0,0,0
,"HART, Johnny ",Inside Forward,4,0,0,0,0,0,0,0,0
,"HAYES, Joe ",Inside Forward,34,14,0,0,0,0,1,0,0
,"JOHNSTONE, Bobby ",Inside Forward,31,16,2,2,3,0,1,0,0
,"KIRKMAN, Alan ",Forward,1,2,0,0,0,0,0,0,0
,"LEIVERS, Bill ",Full Back,42,0,0,2,0,0,1,0,0
,"LITTLE, Roy ",Full Back,37,0,0,2,0,0,1,0,0
,"MARSDEN, Keith ",Centre Forward,9,0,0,0,0,0,0,0,0
,"MCADAMS, Billy ",Forward,12,4,0,2,0,0,0,0,0
,"MCCLELLAND, John ",Winger,4,1,0,0,0,0,0,0,0
,"MCTAVISH, John ",Central Defender,8,0,0,0,0,0,0,0,0
,"PAUL, Roy ",Wing Half,40,3,0,2,0,0,1,0,0
,"PHOENIX, Ron ",Wing Half,8,0,0,0,0,0,0,0,0
,"REVIE, Don ",Inside Forward,14,2,1,0,0,0,1,0,0
,"SAVAGE, John ",Goalkeeper,19,0,0,0,0,0,1,0,0
,"SEAR, Cliff ",Full Back,1,0,0,0,0,0,0,0,0
,"SPURDLE, Bill ",Wing Half,5,0,0,0,0,0,0,0,0
,"THOMPSON, George ",Goalkeeper,2,0,0,0,0,0,0,0,0
,"TRAUTMANN, Bert ",Goalkeeper,21,0,0,2,0,0,0,0,0
