Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BAKER, Colin ",Wing Half,27,3,0,2,0,0,0,0,0
,"DAVIES, Ron ",Full Back,17,0,0,0,0,0,0,0,0
,"DIXON, Cecil ",Winger,6,0,0,0,0,0,0,0,0
,"FORD, Trevor ",Centre Forward,14,4,0,0,0,0,0,0,0
,"FROWEN, John ",Full Back,9,0,0,0,0,0,0,0,0
,"GODWIN, Don ",Winger,2,0,0,0,0,0,0,0,0
,"HARRINGTON, Alan ",Full Back,33,0,0,0,0,0,0,0,0
,"HITCHENS, Gerry ",Centre Forward,41,21,0,2,0,0,0,0,0
,"HOWELLS, Ron ",Goalkeeper,4,0,0,0,0,0,0,0,0
,"JENKINS, Brian ",Winger,4,0,0,0,0,0,0,0,0
,"JONES, Bernard ",Inside Forward,7,0,0,0,0,0,0,0,0
,"MALLOY, Danny ",Central Defender,42,1,1,2,0,0,0,0,0
,"MCSEVENEY, John ",Winger,34,12,3,2,1,0,0,0,0
,"NUGENT, Cliff ",Winger,28,3,0,2,0,0,0,0,0
,"O'HALLORAN, Neil ",Winger,4,1,0,0,0,0,0,0,0
,"REYNOLDS, Brayley ",Centre Forward,14,3,0,0,0,0,0,0,0
,"RUTTER, Charlie ",Full Back,15,0,0,2,0,0,0,0,0
,"STITFALL, Ron ",Full Back,39,0,0,2,0,0,0,0,0
,"STOCKIN, Ron ",Inside Forward,13,1,0,2,1,0,0,0,0
,"SULLIVAN, Derrick ",Wing Half,31,0,0,2,0,0,0,0,0
,"TUCKER, Ken ",Winger,8,0,0,0,0,0,0,0,0
,"VEARNCOMBE, Graham ",Goalkeeper,38,0,0,2,0,0,0,0,0
,"WALSH, Brian ",Winger,32,3,0,2,0,0,0,0,0
