-- League --	--- FA Cup ---	---- Other ----

1959/60
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
BEIGHTON, Graham 	Goalkeeper	0	0	0	0	0	0	0	0	0
										
CRAIG, Bobby 	Inside Forward	24	9	0	5	2	0	0	0	0
										
CURTIS, Norman 	Full Back	18	1	1	0	0	0	0	0	0
										
ELLIS, Keith 	Centre Forward	22	13	0	4	1	0	0	0	0
										
FANTHAM, John 	Forward	42	17	0	5	1	0	0	0	0
										
FINNEY, Alan 	Winger	40	9	0	5	0	0	0	0	0
										
FROGGATT, Redfern 	Inside Forward	18	6	0	0	0	0	0	0	0
										
GIBSON, Don 	Wing Half	4	0	0	0	0	0	0	0	0
										
GRIFFIN, Billy 	Midfielder	6	6	0	1	0	0	0	0	0
										
HILL, Brian 	Full Back	10	1	0	0	0	0	0	0	0
										
JOHNSON, Peter 	Full Back	34	0	0	4	0	0	0	0	0
										
KAY, Tony 	Wing Half	31	2	0	5	0	0	0	0	0
										
KIRBY, George 	Forward	3	0	0	0	0	0	0	0	0
										
MACLAREN, Roy 	Goalkeeper	2	0	0	0	0	0	0	0	0
										
MARTIN, Jack 	Full Back	6	0	0	1	0	0	0	0	0
										
MCANEARNEY, Tom 	Midfielder	39	3	1	5	2	2	0	0	0
										
MEGSON, Don 	Full Back	26	0	0	5	0	0	0	0	0
										
O'DONNELL, Ralph 	Wing Half	1	0	0	0	0	0	0	0	0
										
QUINN, Johnny 	Midfielder	2	0	0	0	0	0	0	0	0
										
SHINER, Roy 	Centre Forward	9	3	0	0	0	0	0	0	0
										
SPRINGETT, Ron 	Goalkeeper	40	0	0	5	0	0	0	0	0
										
SWAN, Peter 	Central Defender	42	0	0	5	0	0	0	0	0
										
WILKINSON, Derek 	Winger	37	9	0	4	2	0	0	0	0
										
YOUNG, Gerry 	Central Defender	6	1	0	1	0	0	0	0	0
