	-- League --	--- FA Cup ---	---- Other ----

1960/61
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
BAKER, Colin	Wing Half	
										
DONNELLY, Peter	Inside Forward	
										
DURBAN, Alan	Midfielder	
										
EDGLEY, Brian	Centre Forward	
										
EDWARDS, Trevor	Full Back	
										
GAMMON, Steve	Wing Half	
										
HARRINGTON, Alan	Full Back	
										
HOGG, Derek	Winger	
										
HOLE, Barrie	Midfielder	
										
HUDSON, Colin	Winger	
										
JENKINS, Brian	Winger	
										
KING, Peter	Forward	
										
MALLOY, Danny	Central Defender	
										
MCMILLAN, John	Winger	
										
MILNE, Alec	Full Back	
										
MOORE, Graham	Midfielder	
										
NICHOLLS, Ron	Goalkeeper	
										
PICKRELL, Tony	Winger	
										
STITFALL, Ron	Full Back	
										
SULLIVAN, Derrick	Wing Half	
										
SWAN, Maurice	Goalkeeper	
										
TAPSCOTT, Derek	Inside Forward	
										
VEARNCOMBE, Graham	Goalkeeper	
										
WALSH, Brian	Winger	
										
WARD, Dai	Inside Forward	
										
WATKINS, Johnny	Winger	
