	-- League --	--- FA Cup ---	---- Other ----

1960/61
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
BENTLEY, Roy	Centre Forward	
										
BROWN, Bobby	Forward	
										
BROWN, Stan	Midfielder	
										
CHAMBERLAIN, Trevor 'Tosh'	Winger	
										
COHEN, George	Full Back	
										
COOK, Maurice	Centre Forward	
										
DODGIN, Bill	Central Defender	
										
DOHERTY, John	Centre Forward	
										
EDWARDS, David	Wing Half	
										
HAYNES, Johnny	Midfielder	
										
HEWKINS, Ken	Goalkeeper	
										
HILL, Jimmy	Inside Forward	
										
JOHNSON, Mick	Winger	
										
KEY, Johnny	Winger	
										
LAMPE, Derek	Central Defender	
										
LANGLEY, Jimmy	Full Back	
										
LAWLER, Robin	Full Back	
										
LEGGAT, Graham	Winger	
										
LOWE, Eddie	Wing Half	
										
MACEDO, Tony	Goalkeeper	
										
MULLERY, Alan	Midfielder	
										
O'CONNELL, Pat	Winger	
										
WATSON, Trevor	Winger
