
-- League --	--- FA Cup ---	---- Other ----

1961/62
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
ACKERLEY, Ernie	Centre Forward	
										
BRADLEY, Warren	Winger	
										
BRENNAN, Shay	Full Back	
										
BRIGGS, Ronnie	Goalkeeper	
										
CANTWELL, Noel	Full Back	
										
CHARLTON, Bobby	Midfielder	
										
CHISNALL, Phil	Midfielder	
										
DAWSON, Alex	Forward	
										
DUNNE, Tony	Full Back	
										
FOULKES, Bill	Central Defender	
										
GASKELL, David	Goalkeeper	
										
GILES, Johnny	Midfielder	
										
GRAYSON, Barry	Inside Forward	
										
GREGG, Harry	Goalkeeper	
										
HAYDOCK, Frank	Central Defender	
										
HERD, David	Forward	
										
JOHNSTON, Willie	Winger	
										
LATHAM, David	Winger	
										
LAWTON, Nobby	Midfielder	
										
MCMILLAN, Sammy	Forward	
										
MOIR, Ian	Winger	
										
NICHOLSON, Jimmy	Midfielder	
										
PEARSON, Mark	Midfielder	
										
QUIXALL, Albert	Inside Forward	
										
SETTERS, Maurice	Central Defender	
										
SMITH, Bobby	Midfielder	
										
STILES, Nobby	Midfielder	
										
VIOLLET, Dennis	Inside Forward	
