-- League --	--- FA Cup ---	---- Other ----

1962/63
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
BAILEY, Roy	Goalkeeper	
										
BAXTER, Bill	Central Defender	
										
BLACKWOOD, Bobby	Midfielder	
										
CARBERRY, Larry	Full Back	
										
COMPTON, John	Full Back	
										
CRAWFORD, Ray	Forward	
										
CURTIS, Dermot	Forward	
										
DOUGAN, George	Wing Half	
										
ELSWORTHY, John	Wing Half	
										
GOULDEN, Roy	Inside Forward	
										
HALL, Wilf	Goalkeeper	
										
LAUREL, John	Central Defender	
										
LEADBETTER, Jimmy	Winger	
										
MALCOLM, Ken	Full Back	
										
MILLWARD, Doug	Inside Forward	
										
MORAN, Doug	Inside Forward	
										
NELSON, Andy	Central Defender	
										
PHILLIPS, Ted	Inside Forward	
										
PICKETT, Reg	Wing Half	
										
STEPHENSON, Roy	Winger	
										
THROWER, Dennis	Wing Half	
