	-- League --	--- FA Cup ---	---- Other ----

1962/63
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
BISHOP, Sid	Central Defender	
										
BOLLAND, Gordon	Midfielder	
										
CHARLTON, Stan	Full Back	
										
CLAPTON, Dennis	Centre Forward	
										
CLARK, David	Central Defender	
										
DEELEY, Norman	Winger	
										
DUNMORE, Dave	Centre Forward	
										
ELWOOD, Joe	Winger	
										
FOSTER, Ronnie	Midfielder	
										
GEORGE, Frank	Goalkeeper	
										
GIBBS, Derek	Inside Forward	
										
GRAHAM, Malcolm	Inside Forward	
										
GREGORY, Harry	Midfielder	
										
LEA, Cyril	Central Defender	
										
LEWIS, Eddie	Full Back	
										
LUCAS, Mal	Midfielder	
										
MASON, Bobby	Inside Forward	
										
MCDONALD, Terry	Winger	
										
MUSGROVE, Malcolm	Winger	
										
PINNER, Mike	Goalkeeper	
										
ROBERTSON, Bill	Goalkeeper	
										
TAYLOR, Billy	Midfielder	
										
WAITES, George	Winger	
										
WEDGE, Roger	Winger	
