Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BINGHAM, Billy ",Winger,23,6,0,3,1,0,2,0,0
,"COXON, Gary ",Full Back,0,0,0,0,0,0,0,0,0
,"DUNLOP, Albert ",Goalkeeper,4,0,0,0,0,0,0,0,0
,"GABRIEL, Jimmy ",Midfielder,40,5,0,3,1,0,2,0,0
,"HARRIS, Brian ",Central Defender,24,1,0,1,1,0,2,0,0
,"HESLOP, George ",Central Defender,1,0,0,0,0,0,0,0,0
,"JOHNSON, Eric ",Wing Half,0,0,0,0,0,0,0,0,0
,"KAY, Tony ",Wing Half,19,1,0,2,0,0,0,0,0
,"LABONE, Brian ",Central Defender,40,0,0,3,0,0,2,0,0
,"MACKENZIE, Don ",Winger,0,0,0,0,0,0,0,0,0
,"MEAGAN, Mick ",Central Defender,32,0,0,3,0,0,1,0,0
,"MOORE, John ",Central Defender,0,0,0,0,0,0,0,0,0
,"MORRISSEY, Johnny ",Winger,28,7,0,3,1,0,2,0,0
,"PARKER, Alex ",Full Back,33,2,0,3,0,0,2,0,0
,"SCOTT, Alex ",Winger,17,4,0,0,0,0,0,0,0
,"SHARPLES, George ",Central Defender,2,0,0,0,0,0,0,0,0
,"STEVENS, Dennis ",Forward,42,7,0,3,1,0,2,1,0
,"TEMPLE, Derek ",Winger,5,1,0,0,0,0,0,0,0
,"THOMSON, George ",Full Back,19,0,0,0,0,0,1,0,0
,"VEALL, Ray ",Winger,11,1,0,0,0,0,0,0,0
,"VERNON, Roy ",Forward,41,24,8,3,3,0,2,0,0
,"WEST, Gordon ",Goalkeeper,38,0,0,3,0,0,2,0,0
,"WIGNALL, Frank ",Forward,1,1,0,0,0,0,0,0,0
,"YOUNG, Alex ",Forward,42,22,0,3,0,0,2,0,0
