Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ARROWSMITH, Alf ",Forward,20,15,0,4,4,0,0,0,0
,"BYRNE, Gerry ",Full Back,33,0,0,4,0,0,0,0,0
,"CALLAGHAN, Ian ",Winger,42,8,0,5,0,0,0,0,0
,"FERNS, Phil ",Central Defender,18,0,0,1,0,0,0,0,0
,"FURNELL, Jim ",Goalkeeper,2,0,0,0,0,0,0,0,0
,"HALLIDAY, Brian ",Winger,0,0,0,0,0,0,0,0,0
,"HUNT, Roger ",Forward,41,31,1,5,2,0,0,0,0
,"LAWLER, Chris ",Full Back,6,0,0,0,0,0,0,0,0
,"LAWRENCE, Tommy ",Goalkeeper,40,0,0,5,0,0,0,0,0
,"MELIA, Jimmy ",Midfielder,24,4,0,1,0,0,0,0,0
,"MILNE, Gordon ",Midfielder,42,3,0,5,0,0,0,0,0
,"MORAN, Ronnie ",Full Back,35,1,1,4,0,0,0,0,0
,"ROBERTS, Trevor ",Goalkeeper,0,0,0,0,0,0,0,0,0
,"ST JOHN, Ian ",Forward,40,21,0,5,1,0,0,0,0
,"STEVENSON, Willie ",Midfielder,38,1,0,5,0,0,0,0,0
,"THOMPSON, Peter ",Winger,42,6,0,5,2,0,0,0,0
,"THOMSON, Bobby ",Full Back,2,0,0,1,0,0,0,0,0
,"WALLACE, Gordon ",Forward,1,0,0,0,0,0,0,0,0
,"YEATS, Ron ",Central Defender,36,1,0,5,0,0,0,0,0
