	-- League --	--- FA Cup ---	---- Other ----

1963/64
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
ALLEN, Tony	Full Back	
										
ANDREW, Ron	Central Defender	
										
ASPREY, Bill	Wing Half	
										
BEBBINGTON, Keith	Winger	
										
BLOOR, Alan	Central Defender	
										
BRIDGWOOD, Gerry	Midfielder	
										
CLAMP, Eddie	Wing Half	
										
DOBING, Peter	Midfielder	
										
FLOWERS, John	Midfielder	
										
IRVINE, Bobby	Goalkeeper	
										
KINNELL, George	Central Defender	
										
LESLIE, Lawrie	Goalkeeper	
										
MATTHEWS, Stanley	Winger	
										
MCILROY, Jimmy	Midfielder	
										
MUDIE, Jackie	Inside Forward	
										
O'NEILL, Jimmy	Goalkeeper	
										
PALMER, Calvin	Midfielder	
										
RATCLIFFE, Don	Winger	
										
RITCHIE, John	Forward	
										
SKEELS, Eric	Central Defender	
										
STUART, Eddie	Full Back	
										
VIOLLET, Dennis	Inside Forward	
										
WILSON, Ron	Full Back	
