Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ANDERSON, Geoff ",Winger,1,0,0,0,0,0,0,0,0
,"ATKINSON, Bill ",Winger,0,0,0,0,0,0,0,0,0
,"AULD, Bertie ",Winger,34,10,0,1,0,0,0,0,0
,"BEARD, Malcolm ",Central Defender,36,1,0,1,1,0,1,0,0
,"BLOOMFIELD, Jimmy ",Midfielder,34,3,0,1,0,0,1,0,0
,"BULLOCK, Mickey ",Forward,2,1,0,0,0,0,0,0,0
,"BULLOCK, Peter ",Forward,11,1,0,0,0,0,0,0,0
,"FARMER, Mick ",Wing Half,1,1,0,0,0,0,0,0,0
,"FARRELL, Greg ",Winger,2,0,0,0,0,0,1,0,0
,"FOSTER, Winston ",Central Defender,14,0,0,0,0,0,0,0,0
,"GREEN, Colin ",Full Back,33,0,0,1,0,0,1,0,0
,"HARLEY, Alex ",Centre Forward,23,7,0,0,0,0,1,0,0
,"HARRIS, Jimmy ",Centre Forward,5,3,0,0,0,0,0,0,0
,"HELLAWELL, Mike ",Winger,39,5,0,1,0,0,1,0,0
,"HENNESSEY, Terry ",Central Defender,39,0,0,1,0,0,1,0,0
,"LEEK, Ken ",Forward,26,6,0,1,0,0,1,0,0
,"LYNN, Stan ",Full Back,33,8,7,1,0,0,0,0,0
,"MARTIN, Ray ",Full Back,14,0,0,0,0,0,0,0,0
,"REGAN, John ",Forward,3,1,0,0,0,0,0,0,0
,"RUSHTON, Brian ",Full Back,3,0,0,0,0,0,1,0,0
,"SCHOFIELD, John ",Goalkeeper,4,0,0,0,0,0,0,0,0
,"SMITH, Trevor ",Central Defender,34,2,0,1,0,0,1,0,0
,"THOMSON, Bobby ",Inside Forward,21,2,0,1,0,0,0,0,0
,"THWAITES, Denis ",Winger,10,2,0,0,0,0,0,0,0
,"VINCENT, Johnny ",Midfielder,2,0,0,0,0,0,0,0,0
,"WITHERS, Colin ",Goalkeeper,38,0,0,1,0,0,1,0,0
