	-- League --	--- FA Cup ---	---- Other ----

1964/65
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
ADAMS, Vince	Midfielder	
										
ANDERSON, Terry	Winger	
										
ARMSTRONG, George	Winger	
										
BAKER, Joe	Forward	
										
BALDWIN, Tommy	Forward	
										
BURNS, Tony	Goalkeeper	
										
CLARKE, Fred	Full Back	
										
COURT, David	Midfielder	
										
EASTHAM, George	Midfielder	
										
FERRY, Gordon	Central Defender	
										
FURNELL, Jim	Goalkeeper	
										
HOWE, Don	Full Back	
										
MAGILL, Jimmy	Full Back	
										
MCCULLOUGH, Billy	Full Back	
										
MCLEOD, John	Winger	
										
MCLINTOCK, Frank	Midfielder	
										
NEILL, Terry	Central Defender	
										
RADFORD, John	Forward	
										
RYAN, John	Full Back	
										
SAMMELS, Jon	Midfielder	
										
SIMPSON, Peter	Central Defender	
										
SKIRTON, Alan	Winger	
										
SNEDDEN, John	Central Defender	
										
STRONG, Geoff	Inside Forward	
										
TAWSE, Brian	Winger	
										
THEAR, Tony	Forward	
										
URE, Ian	Central Defender	
										
WILKINSON, Ernie	Central Defender	
