-- League --	--- FA Cup ---	---- Other ----

1964/65
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
ASHURST, Len 	Full Back	39	2	0	2	0	0	3	0	0
										
BLACK, Alan 	Full Back	2	0	0	0	0	0	0	0	0
										
CAMPBELL, Billy 	Winger	3	0	0	0	0	0	0	0	0
										
CLOUGH, Brian 	Centre Forward	3	1	0	0	0	0	0	0	0
										
CROSSAN, Johnny 	Forward	16	5	0	0	0	0	2	1	0
										
ELLIOTT, Dave 	Midfielder	5	0	0	0	0	0	1	0	0
										
FORSTER, Derek 	Goalkeeper	3	0	0	0	0	0	0	0	0
										
HARVEY, Martin 	Central Defender	38	2	0	1	0	0	3	0	0
										
HELLAWELL, Mike 	Winger	14	2	0	0	0	0	0	0	0
										
HERD, George 	Midfielder	39	8	0	2	0	0	3	1	0
										
HOOD, Harry 	Centre Forward	24	8	0	1	1	0	0	0	0
										
HURLEY, Charlie 	Central Defender	27	3	0	1	0	0	1	0	0
										
IRWIN, Cec 	Full Back	19	0	0	0	0	0	2	0	0
										
MCLAUGHLAN, Sandy 	Goalkeeper	30	0	0	2	0	0	1	0	0
										
MCNAB, Jimmy 	Central Defender	38	2	0	2	0	0	2	0	0
										
MITCHINSON, Tommy 	Midfielder	10	0	0	2	0	0	2	1	0
										
MONTGOMERY, Jim 	Goalkeeper	9	0	0	0	0	0	2	0	0
										
MOORE, Gary 	Forward	2	0	0	0	0	0	0	0	0
										
MULHALL, George 	Winger	41	9	0	2	1	0	3	1	0
										
NELSON, Colin 	Full Back	1	0	0	0	0	0	1	0	0
										
O'HARE, John 	Forward	5	0	0	0	0	0	2	4	0
										
PARKE, John 	Full Back	24	0	0	2	0	0	0	0	0
										
ROOKS, Dickie 	Central Defender	16	2	2	2	0	0	2	0	0
										
SHARKEY, Nick 	Forward	32	18	0	2	2	0	1	1	0
										
SLACK, Mel 	Wing Half	2	1	0	0	0	0	0	0	0
										
USHER, Brian 	Winger	20	0	0	1	0	0	2	1	0
