Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ARMFIELD, Jimmy ",Full Back,40,1,0,1,0,0,1,0,0
,"BALL, Alan ",Midfielder,39,12,2,1,1,0,2,1,1
,"CHARNLEY, Ray ",Forward,38,20,0,1,0,0,2,1,0
,"CRANSTON, Bill ",Central Defender,5,0,0,0,0,0,1,0,0
,"CRAWFORD, Bruce ",Wing Half,1,0,0,0,0,0,0,0,0
,"FISHER, Hugh ",Midfielder,3,0,0,0,0,0,2,0,0
,"GRATRIX, Roy ",Central Defender,4,0,0,0,0,0,0,0,0
,"GREEN, Johnny ",Central Defender,42,2,0,1,0,0,2,0,0
,"HOBSON, John ",Winger,0,0,0,0,0,0,0,0,0
,"HORNE, Des ",Winger,28,2,0,1,0,0,2,1,1
,"HUGHES, David ",Winger,0,0,0,0,0,0,0,0,0
,"JAMES, Glyn ",Central Defender,35,0,0,1,0,0,2,0,0
,"LEA, Les ",Winger,30,3,0,1,0,0,2,1,0
,"LOYDEN, Eddie ",Forward,2,0,0,0,0,0,0,0,0
,"MCPHEE, John ",Central Defender,26,1,0,1,0,0,0,0,0
,"MOIR, Ian ",Winger,14,4,0,0,0,0,0,0,0
,"OATES, Graham ",Winger,30,13,0,0,0,0,0,0,0
,"PARRY, Ray ",Midfielder,4,0,0,0,0,0,0,0,0
,"PRENTIS, John ",Full Back,1,0,0,0,0,0,1,0,0
,"ROBINSON, Harry ",Winger,0,0,0,0,0,0,0,0,0
,"ROBSON, Jimmy ",Forward,9,2,0,0,0,0,0,0,0
,"ROWE, Graham ",Midfielder,23,3,0,1,0,0,1,0,0
,"THOMPSON, Tommy ",Full Back,40,0,0,1,0,0,2,0,0
,"TURNER, Neil ",Midfielder,1,0,0,0,0,0,0,0,0
,"WADDELL, Bobby ",Centre Forward,5,3,0,0,0,0,0,0,0
,"WAITERS, Tony ",Goalkeeper,42,0,0,1,0,0,2,0,0
