Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ADDISON, Colin ",Midfielder,28,9,0,0,0,0,0,0,0
,"BAKER, Joe ",Forward,14,5,0,0,0,0,0,0,0
,"BALL, Geoff ",Full Back,1,0,0,0,0,0,0,0,0
,"BARNWELL, John ",Midfielder,32,2,1,2,0,0,0,0,0
,"BRINDLEY, Bill ",Full Back,4+1,0,0,0,0,0,0,0,0
,"CARGILL, Jim ",Goalkeeper,1,0,0,1,0,0,0,0,0
,"CHAPMAN, Bob ",Central Defender,8+1,2,0,1,0,0,0,0,0
,"COLEMAN, John ",Full Back,0,0,0,0,0,0,0,0,0
,"CROWE, Chris ",Midfielder,33,4,1,2,1,0,0,0,0
,"GRUMMITT, Peter ",Goalkeeper,41,0,0,1,0,0,0,0,0
,"HENNESSEY, Terry ",Central Defender,22,1,0,2,0,0,0,0,0
,"HINDLEY, Peter ",Full Back,38,2,0,2,0,0,0,0,0
,"HINTON, Alan ",Winger,33,6,0,2,0,0,0,0,0
,"HUTCHINSON, Ian ",Forward,0,0,0,0,0,0,0,0,0
,"KEAR, Mike ",Winger,7,2,0,0,0,0,0,0,0
,"MCARTHUR, Barry ",Forward,7+1,4,0,2,0,0,0,0,0
,"MCKINLAY, Bobby ",Central Defender,41,0,0,1,0,0,0,0,0
,"MOCHAN, Dennis ",Full Back,19,0,0,0,0,0,0,0,0
,"NEWTON, Henry ",Midfielder,42,2,0,2,0,0,0,0,0
,"STAINWRIGHT, Dave ",Forward,3+1,1,0,0,0,0,0,0,0
,"STOREY-MOORE, Ian ",Winger,23+1,5,0,0,0,0,0,0,0
,"TAYLOR, Billy ",Midfielder,1+1,0,0,1,0,0,0,0,0
,"WHITEFOOT, Jeff ",Wing Half,41,0,0,2,0,0,0,0,0
,"WIGNALL, Frank ",Forward,19,6,0,1,1,0,0,0,0
,"WILSON, Dave ",Forward,1+1,1,0,0,0,0,0,0,0
,"WINFIELD, John ",Full Back,3+2,0,0,0,0,0,0,0,0
