Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BELL, Willie ",Full Back,16,0,0,0,0,0,2,0,0
,"BILLINGTON, Brian ",Forward,0,0,0,0,0,0,0,0,0
,"BROWN, Ally ",Forward,2,2,0,0,0,0,0,0,0
,"CLARKE, Allan ",Forward,36,12,0,8,1,0,2,3,0
,"CROSS, Graham ",Central Defender,37,1,0,8,0,0,2,0,0
,"FERN, Rodney ",Forward,29+6,6,0,7+1,2,0,2,1,0
,"GIBSON, David ",Midfielder,29+3,1,0,6,0,0,3,0,0
,"GLOVER, Len ",Winger,27,2,0,8,3,0,2,0,0
,"GREENHALGH, Brian ",Forward,2+2,0,0,0,0,0,0,0,0
,"HUTCHINS, Don ",Winger,3,0,0,0,0,0,0,0,0
,"LOCHHEAD, Andy ",Forward,24+1,6,0,8,1,0,0,0,0
,"MACKAY, Bobby ",Midfielder,6+1,1,0,1,0,0,0+1,0,0
,"MANLEY, Malcolm ",Central Defender,28,1,0,0+3,0,0,2,0,0
,"MATTHEWS, Paul ",Midfielder,7+1,0,0,0,0,0,0,0,0
,"NISH, David ",Full Back,40,3,2,8,0,0,3,0,0
,"POTTS, Brian ",Full Back,9,0,0,0,0,0,1,0,0
,"ROBERTS, Bobby ",Midfielder,25+3,0,0,8,0,0,1+1,0,0
,"RODRIGUES, Peter ",Full Back,18,1,0,7,0,0,0,0,0
,"SHILTON, Peter ",Goalkeeper,42,0,0,8,0,0,3,0,0
,"SJOBERG, John ",Central Defender,23+1,0,0,7,0,0,2,0,0
,"STRINGFELLOW, Mike ",Winger,22,2,0,0,0,0,2,1,0
,"SVARC, Bobby ",Forward,2,0,0,0,0,0,2,0,0
,"TEWLEY, Alan ",Winger,3+1,0,0,0,0,0,1,0,0
,"WOOLLETT, Alan ",Central Defender,32+1,0,0,4,0,0,3,0,0
