	-- League --	--- FA Cup ---	---- Other ----

1969/70
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
BARTRAM, Per	Forward	
										
BLYTH, Mel	Central Defender	
										
DAWKINS, Trevor	Midfielder	
										
HOADLEY, Phil	Central Defender	
										
HOY, Roger	Midfielder	
										
HUTCHINSON, David	Forward	
										
HYND, Roger	Central Defender	
										
JACKSON, Cliff	Winger	
										
JACKSON, John	Goalkeeper	
										
KEMBER, Steve	Midfielder	
										
LAZARUS, Mark	Winger	
										
LOUGHLAN, John	Full Back	
										
MCCORMICK, John	Central Defender	
										
OLIVER, Jim	Full Back	
										
PAYNE, David	Full Back	
										
PINKNEY, Alan	Midfielder	
										
QUEEN, Gerry	Forward	
										
SCOTT, Jim	Winger	
										
SEWELL, John	Full Back	
										
TAMBLING, Bobby	Forward	
										
TAYLOR, Tony	Full Back	
										
THORUP, Borge	Full Back	
										
TOMKINS, Len	Winger	
										
VANSITTART, Tom	Full Back	
										
WOODRUFF, Bobby	Midfielder	
