-- League --	--- FA Cup ---	---- Other ----

1969/70
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
CARLIN, Willie	Midfielder	
										
CULLERTON, Mick	Forward	
										
DANIEL, Peter	Central Defender	
										
DURBAN, Alan	Midfielder	
										
GREEN, Les	Goalkeeper	
										
HECTOR, Kevin	Forward	
										
HENNESSEY, Terry	Central Defender	
										
HINTON, Alan	Winger	
										
MACKAY, Dave	Wing Half	
										
MARLOWE, Ricky	Forward	
										
MCFARLAND, Roy	Central Defender	
										
MCGOVERN, John	Midfielder	
										
O'HARE, John	Forward	
										
RHODES, Tony	Central Defender	
										
ROBSON, John	Full Back	
										
STEWART, Arthur	Central Defender	
										
WALKER, Jim	Full Back	
										
WEBSTER, Ron	Full Back	
										
WIGNALL, Frank	Forward	
