	-- League --	--- FA Cup ---	---- Other ----

1970/71
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
AYRIS, Johnny	Winger	
										
BENNETT, Peter 'Les'	Midfielder	
										
BEST, Clyde	Forward	
										
BONDS, Billy	Central Defender	
										
BOXALL, Alan	Central Defender	
										
BOYCE, Ronnie	Midfielder	
										
BROOKING, Trevor	Midfielder	
										
DEAR, Brian	Forward	
										
EUSTACE, Peter	Midfielder	
										
FERGUSON, Bobby	Goalkeeper	
										
GREAVES, Jimmy	Forward	
										
GROTIER, Peter	Goalkeeper	
										
HEFFER, Paul	Central Defender	
										
HOLLAND, Pat	Winger	
										
HOWE, Bobby	Full Back	
										
HURST, Geoff	Forward	
										
LAMPARD, Frank	Full Back	
										
LINDSAY, Jimmy	Midfielder	
										
LLEWELLYN, David	Winger	
										
MCDOWELL, John	Full Back	
										
MOORE, Bobby	Central Defender	
										
REDKNAPP, Harry	Winger	
										
ROBSON, Bryan 'Pop'	Forward	
										
STEPHENSON, Alan	Central Defender	
										
TAYLOR, Tommy	Central Defender	
