-- League --	--- FA Cup ---	---- Other ----

1970/71
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
ARNOLD, Rod	Goalkeeper	
										
BAILEY, Mike	Midfielder	
										
CURRAN, Hugh	Forward	
										
DOUGAN, Derek	Forward	
										
FARRELL, Gerry	Full Back	
										
GOULD, Bobby	Forward	
										
HEGAN, Danny	Midfielder	
										
HIBBITT, Ken	Midfielder	
										
HOLSGROVE, John	Central Defender	
										
LUTTON, Bertie	Winger	
										
MCALLE, John	Central Defender	
										
MCCALLIOG, Jim	Midfielder	
										
MUNRO, Frank	Central Defender	
										
NICHOLLS, Phil	Central Defender	
										
O'GRADY, Mike	Winger	
										
OLDFIELD, John	Goalkeeper	
										
PARKES, Phil	Goalkeeper	
										
PARKIN, Derek	Full Back	
										
RICHARDS, John	Forward	
										
RUTTER, John	Full Back	
										
SHAW, Bernard	Full Back	
										
STEPHENS, Alan	Full Back	
										
TAYLOR, Gerry	Full Back	
										
WAGSTAFFE, Dave	Winger	
										
WALKER, Paul	Midfielder	
										
WILSON, Les	Full Back	
