Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ARNOLD, Steve ",Midfielder,1,0,0,0,0,0,0,0,0
,"BOERSMA, Phil ",Midfielder,13+2,1,0,3,0,0,2+1,2,0
,"CALLAGHAN, Ian ",Winger,21+2,0,0,4+1,0,0,6,0,0
,"CARROLL, Mike ",Forward,0,0,0,0,0,0,0,0,0
,"CLEMENCE, Ray ",Goalkeeper,41,0,0,7,0,0,13,0,0
,"EVANS, Alun ",Forward,21,10,0,3+1,1,0,9,4,0
,"EVANS, Roy ",Full Back,4,0,0,0,0,0,2,0,0
,"FAGAN, Kit ",Central Defender,1,0,0,0,0,0,0,0,0
,"GIDMAN, John ",Full Back,0,0,0,0,0,0,0,0,0
,"GRAHAM, Bobby ",Forward,13+1,5,0,0,0,0,4,1,0
,"HALL, Brian ",Midfielder,32+1,1,0,7,1,0,11,0,0
,"HEIGHWAY, Steve ",Winger,29+2,4,0,7,2,0,9,1,0
,"HUGHES, Emlyn ",Central Defender,39,2,0,7,0,0,13,3,0
,"LAWLER, Chris ",Full Back,41,3,0,7,2,0,13,1,0
,"LAWRENCE, Tommy ",Goalkeeper,1,0,0,0,0,0,0,0,0
,"LINDSAY, Alec ",Full Back,21,0,0,4,0,0,10,1,0
,"LIVERMORE, Doug ",Midfielder,0+1,0,0,0,0,0,1,0,0
,"LLOYD, Larry ",Central Defender,40,0,0,7,0,0,13,0,0
,"MCAULEY, Hugh ",Winger,0,0,0,0,0,0,0,0,0
,"MCLAUGHLIN, John ",Midfielder,33,2,0,4,1,0,8,0,0
,"ROSS, Ian ",Central Defender,8+4,0,0,0,0,0,1+1,1,0
,"SMITH, Tommy ",Central Defender,41,2,2,7,0,0,13,1,1
,"ST JOHN, Ian ",Forward,0+1,0,0,0+1,1,0,0+1,0,0
,"THOMPSON, Peter ",Winger,24+3,2,0,1+1,0,0,7+1,0,0
,"TOSHACK, John ",Forward,21,5,0,7,1,0,5,1,0
,"WADDINGTON, John ",Central Defender,0,0,0,0,0,0,0,0,0
,"WHITHAM, Jack ",Forward,6,1,0,0,0,0,1,0,0
,"YEATS, Ron ",Central Defender,11+1,1,0,2,0,0,2,0,0
