-- League --	--- FA Cup ---	---- Other ----

1971/72
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
BALL, Alan	Midfielder	
										
BUCKLEY, Mick	Midfielder	
										
CONNOLLY, John	Winger	
										
DARRACOTT, Terry	Full Back	
										
FINNIGAN, Trevor	Forward	
										
HARVEY, Colin	Midfielder	
										
HURST, John	Central Defender	
										
HUSBAND, Jimmy	Winger	
										
JOHNSON, David	Forward	
										
JONES, Gary	Winger	
										
KENDALL, Howard	Midfielder	
										
KENNY, Billy	Midfielder	
										
KENYON, Roger	Central Defender	
										
LABONE, Brian	Central Defender	
										
LYONS, Mike	Central Defender	
										
MCLAUGHLIN, John	Full Back	
										
MORRISSEY, Johnny	Winger	
										
NEWTON, Henry	Midfielder	
										
NEWTON, Keith	Full Back	
										
PRITCHARD, Ray	Full Back	
										
ROYLE, Joe	Forward	
										
SCOTT, Peter	Full Back	
										
SEARGEANT, Steve	Full Back	
										
WEST, Gordon	Goalkeeper	
										
WHITTLE, Alan	Forward	
										
WILSON, Alan	Midfielder	
										
WRIGHT, Bernie	Forward	
										
WRIGHT, Tommy	Full Back	
