	-- League --	--- FA Cup ---	---- Other ----

1971/72
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
BADGER, Len	Full Back	
										
BARLOW, Frank	Central Defender	
										
CAMMACK, Steve	Forward	
										
COLQUHOUN, Eddie	Central Defender	
										
CURRIE, Tony	Midfielder	
										
DEARDEN, Billy	Forward	
										
FLYNN, John	Central Defender	
										
FORD, David	Forward	
										
GOULDING, Steve	Full Back	
										
HEMSLEY, Ted	Full Back	
										
HOCKEY, Trevor	Winger	
										
HOLMES, Ian	Midfielder	
										
HOPE, John	Goalkeeper	
										
MACKENZIE, Ian	Central Defender	
										
MCALISTER, Tom	Goalkeeper	
										
OGDEN, Alan	Full Back	
										
REECE, Gil	Winger	
										
SALMONS, Geoff	Midfielder	
										
SCULLION, Stewart	Winger	
										
SPEIGHT, Mick	Midfielder	
										
STANIFORTH, Dave	Forward	
										
WOODWARD, Alan	Winger	
