	-- League --	--- FA Cup ---	---- Other ----

1972/73
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
ALDERSON, Brian	Winger	
										
BARRY, Roy	Full Back	
										
BLOCKLEY, Jeff	Central Defender	
										
BLYTH, Jim	Goalkeeper	
										
CARR, Willie	Midfielder	
										
CATTLIN, Chris	Full Back	
										
COOP, Mick	Full Back	
										
DUGDALE, Alan	Central Defender	
										
GLAZIER, Bill	Goalkeeper	
										
GRAHAM, Bobby	Forward	
										
GREEN, Alan	Forward	
										
HOLMES, Jimmy	Full Back	
										
HUNT, Ernie	Forward	
										
HUTCHISON, Tommy	Winger	
										
MACHIN, Ernie	Midfielder	
										
MCGUIRE, Mick	Midfielder	
										
MORTIMER, Dennis	Midfielder	
										
MURPHY, Donal	Winger	
										
OLIVER, Brian	Goalkeeper	
										
PARKER, Bobby	Central Defender	
										
POOLE, Mike	Goalkeeper	
										
RAFFERTY, Billy	Forward	
										
RAMSBOTTOM, Neil	Goalkeeper	
										
SMITH, Wilf	Full Back	
										
STEIN, Colin	Forward	
										
YOUNG, Quintin	Winger	
