	-- League --	--- FA Cup ---	---- Other ----

1972/73
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
BOULTON, Colin 	Goalkeeper	40	0	0	5	0	0	11	0	0
										
BUTLIN, Barry 	Forward	1	0	0	0	0	0	0	0	0
										
DANIEL, Peter 	Central Defender	9	0	0	1	0	0	4	0	0
										
DAVIES, Roger 	Forward	19+1	7	0	5	6	0	3	0	0
										
DURBAN, Alan 	Midfielder	11+7	1	0	1+3	0	0	3+2	0	0
										
GEMMILL, Archie 	Midfielder	34	3	2	5	0	0	10	1	0
										
HECTOR, Kevin 	Forward	41	14	0	5	5	0	11	4	0
										
HENNESSEY, Terry 	Central Defender	21	2	0	2+1	0	0	5	1	0
										
HINTON, Alan 	Winger	27	13	6	1	0	0	9	2	0
										
LEWIS, Alan 	Full Back	2	0	0	0	0	0	0	0	0
										
MASON, Tommy 	Midfielder	0	0	0	0	0	0	0	0	0
										
MCFARLAND, Roy 	Central Defender	38	5	0	5	0	0	10	2	0
										
MCGOVERN, John 	Midfielder	39	1	0	5	0	0	11	2	0
										
MOSELEY, Graham 	Goalkeeper	2	0	0	0	0	0	0	0	0
										
NISH, David 	Full Back	34	1	0	5	0	0	7	0	0
										
O'HARE, John 	Forward	34	4	0	5	0	0	11	1	0
										
PARRY, Tony 	Central Defender	4+2	0	0	0	0	0	0	0	0
										
POWELL, Steve 	Midfielder	22	2	0	1	0	0	7	0	0
										
ROBSON, John 	Full Back	10	0	0	0	0	0	4	0	0
										
ROWLAND, Andy 	Forward	0	0	0	0	0	0	0	0	0
										
SIMS, John 	Forward	2+1	0	0	0	0	0	0+1	0	0
										
TODD, Colin 	Central Defender	41	1	0	5	0	0	11	0	0
										
TURNER, John 	Goalkeeper	0	0	0	0	0	0	0	0	0
										
WALKER, Jim 	Full Back	5	1	0	0	0	0	0	0	0
										
WEBSTER, Ron 	Full Back	26	0	0	4	0	0	4	0	0
