Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BARRETT, Colin ",Full Back,14+1,0,0,0,0,0,2,0,0
,"BELL, Colin ",Midfielder,39,7,0,5,2,0,5,1,0
,"BOOK, Tony ",Full Back,29+1,0,0,5,0,0,4,0,0
,"BOOTH, Tommy ",Central Defender,34,5,0,5,1,0,5,0,0
,"BRENNAN, Mike ",Forward,1+1,0,0,0,0,0,0,0,0
,"CARRODUS, Frank ",Winger,6+5,1,0,0,0,0,0,0,0
,"CORRIGAN, Joe ",Goalkeeper,30,0,0,5,0,0,3,0,0
,"DAVIES, Wyn ",Forward,5,0,0,0,0,0,2,0,0
,"DONACHIE, Willie ",Full Back,40,1,0,5,0,0,4,0,0
,"DOYLE, Mike ",Central Defender,38+2,1,0,5,0,0,4,0,0
,"HEALEY, Ron ",Goalkeeper,12,0,0,0,0,0,2+1,0,0
,"HILL, Freddie ",Midfielder,4+2,0,0,0,0,0,0,0,0
,"JEFFRIES, Derek ",Central Defender,33+1,0,0,5,0,0,2+1,0,0
,"LEE, Francis ",Forward,35,14,5,5,1,0,5,2,1
,"MARSH, Rodney ",Forward,37,14,0,5,1,0,5,4,0
,"MELLOR, Ian ",Winger,10+2,3,0,2+1,0,0,1+3,1,0
,"NICHOLLS, Phil ",Central Defender,0,0,0,0,0,0,0,0,0
,"OAKES, Alan ",Midfielder,13+1,1,0,0,0,0,2+1,0,0
,"PARDOE, Glyn ",Full Back,6,0,0,0,0,0,0,0,0
,"SUMMERBEE, Mike ",Winger,38,2,0,4,1,0,4,0,0
,"TOWERS, Tony ",Midfielder,35,5,0,4,1,0,5,0,0
,"WHELAN, Tony ",Forward,3,0,0,0,0,0,0,0,0
