	-- League --	--- FA Cup ---	---- Other ----

1973/74
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
BLACKMORE, Richie	Goalkeeper	
										
BOWKER, Keith	Forward	
										
BRYANT, Steve	Full Back	
										
BURNS, Kenny	Central Defender	
										
CALDERWOOD, Jimmy	Full Back	
										
CAMPBELL, Alan	Midfielder	
										
CLARKE, Dennis	Central Defender	
										
COOPER, Paul	Goalkeeper	
										
EMMANUEL, Gary	Midfielder	
										
FRANCIS, Trevor	Forward	
										
GALLAGHER, Joe	Central Defender	
										
HATTON, Bob	Forward	
										
HENDRIE, Paul	Midfielder	
										
HOPE, Bobby	Midfielder	
										
HYND, Roger	Central Defender	
										
JENKINS, Lindley	Midfielder	
										
KELLY, Mike	Goalkeeper	
										
KENDALL, Howard	Midfielder	
										
LATCHFORD, Dave	Goalkeeper	
										
LATCHFORD, Bob	Forward	
										
MARTIN, Ray	Full Back	
										
OSBORNE, Ian	Full Back	
										
PAGE, Malcolm	Full Back	
										
PENDREY, Garry	Full Back	
										
PHILLIPS, Steve	Forward	
										
ROBERTS, John	Central Defender	
										
SPRAKE, Gary	Goalkeeper	
										
STYLES, Archie	Full Back	
										
TAYLOR, Gordon	Winger	
										
WANT, Tony	Full Back	
										
WHITEHEAD, Alan	Central Defender	
